requirement_id,line_no,summary,phase,artifact,validation,owner
R-2643,2643,"Explicitly mark obsolete statements about incomplete panels, empirical fallback, early/main-text ablation, CEC2013 run count, or detector...",0,instruction_precedence.md,Phase 0 validation procedures + Gate 0 review,P1
R-2646,2646,Initialize governance records.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2647,2647,"Create `project_configuration.md`, `requirements_traceability_matrix.csv`, `source_line_traceability.csv`, `decision_log.md`, `assumption...",0,project_configuration.md,Phase 0 validation procedures + Gate 0 review,P5
R-2654,2654,"Classify every nonblank line of the updated prompt using Section 3.2 and map each operative requirement to this master, a phase, an artif...",0,source_line_traceability.csv + requirements_traceability_matrix.csv,Phase 0 validation procedures + Gate 0 review,P9
R-2659,2659,Record the provisional target journal from the repository template without claiming current quartile or page limits.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P10
R-2661,2661,Record the controlled analysis bundle root `papers/analysis/<release_id>/` (Section 7.13) in `project_configuration.md`; the `<release_id...,0,project_configuration.md,Phase 0 validation procedures + Gate 0 review,P1
R-2666,2666,Locate source boundaries.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2667,2667,"Confirm or mark missing: `reference_papers/`, `papers/references.bib`, `benchmarks/cec_reference_results/`, `benchmarks/cec_suite_python/...",0,reference_papers/,Phase 0 validation procedures + Gate 0 review,P4
R-2672,2672,Mark `benchmarks/cec_reference_results/` read-only.,0,benchmarks/cec_reference_results/,Phase 0 validation procedures + Gate 0 review,P4
R-2673,2673,Mark `results/` staging-only.,0,results/,Phase 0 validation procedures + Gate 0 review,P1
R-2675,2675,Toolchain discovery.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P5
R-2676,2676,"Determine Python, package manager, LaTeX, Word/OOXML tooling, Pandoc or alternative converter, archive tools, and checksum utilities.",0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P8
R-2678,2678,Record versions without installing unapproved software that could modify evidence.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2681,2681,Run non-destructive engineering preflight.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P5
R-2682,2682,Verify expected command forms: [commands in fenced block below],0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2694,2694,"If installation changes lock files, revert or document before continuing.",0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2695,2695,"Record command, working directory, timestamp, exit code, and output hash.",0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P5
R-2697,2697,Create the top-level asset inventory.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2698,2698,Enumerate files by class and count.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2699,2699,Do not yet decide scientific admissibility; only locate and classify.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2701,2701,Create the phase schedule.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2702,2702,Populate all Phase 0–12 rows in `phase_gate_register.csv`.,0,phase_gate_register.csv,Phase 0 validation procedures + Gate 0 review,P1
R-2703,2703,Mark Phase 12 as the sole final implementation phase and ablation phase.,0,project_configuration.md + Phase 0 registers,Phase 0 validation procedures + Gate 0 review,P1
R-2707,2707,`project_configuration.md`,0,project_configuration.md,Gate 0 artifact presence/schema check,P1
R-2708,2708,`instruction_precedence.md`,0,instruction_precedence.md,Gate 0 artifact presence/schema check,P1
R-2709,2709,`requirements_traceability_matrix.csv`,0,requirements_traceability_matrix.csv,Gate 0 artifact presence/schema check,P2
R-2710,2710,`source_line_traceability.csv`,0,source_line_traceability.csv,Gate 0 artifact presence/schema check,P2
R-2711,2711,`decision_log.md`,0,decision_log.md,Gate 0 artifact presence/schema check,P1
R-2712,2712,`assumption_register.csv`,0,assumption_register.csv,Gate 0 artifact presence/schema check,P1
R-2713,2713,`risk_register.csv`,0,risk_register.csv,Gate 0 artifact presence/schema check,P1
R-2714,2714,`phase_gate_register.csv`,0,phase_gate_register.csv,Gate 0 artifact presence/schema check,P1
R-2715,2715,`change_request_register.csv`,0,change_request_register.csv,Gate 0 artifact presence/schema check,P1
R-2716,2716,`reproducibility_manifest.json`,0,reproducibility_manifest.json,Gate 0 artifact presence/schema check,P5
R-2717,2717,`administrative_gap_register.md`,0,administrative_gap_register.md,Gate 0 artifact presence/schema check,P1
R-2718,2718,`preflight_inventory.csv`,0,preflight_inventory.csv,Gate 0 artifact presence/schema check,P5
R-2719,2719,`engineering_preflight.md`,0,engineering_preflight.md,Gate 0 artifact presence/schema check,P5
R-2723,2723,Confirm every governance file parses and has required fields.,0,PHASE_0_gate_report.md,executed in Phase 0 VALIDATION state; evidence in gate report,P1
R-2724,2724,Confirm every nonblank updated-prompt line has exactly one accepted classification and every operative requirement has an implementation ...,0,PHASE_0_gate_report.md,executed in Phase 0 VALIDATION state; evidence in gate report,P1
R-2727,2727,"Confirm all expected path checks have explicit `present`, `missing`, or `not_applicable` status.",0,PHASE_0_gate_report.md,executed in Phase 0 VALIDATION state; evidence in gate report,P1
R-2729,2729,Confirm the repository commit in every Phase 0 artifact is identical.,0,PHASE_0_gate_report.md,executed in Phase 0 VALIDATION state; evidence in gate report,P1
R-2730,2730,Confirm no scientific source file changed during preflight.,0,PHASE_0_gate_report.md,executed in Phase 0 VALIDATION state; evidence in gate report,P5
R-2734,2734,Re-run `git status --porcelain` and compare with the initial snapshot.,0,PHASE_0_gate_report.md,independent check recorded at Gate 0,P5
R-2735,2735,Verify the anchor SHA independently with two Git commands where practical.,0,PHASE_0_gate_report.md,independent check recorded at Gate 0,P5
R-2736,2736,Verify protected evidence permissions or document technical limitations.,0,PHASE_0_gate_report.md,independent check recorded at Gate 0,P1
R-2737,2737,"Verify instruction conflicts are explicitly resolved, not merely listed.",0,PHASE_0_gate_report.md,independent check recorded at Gate 0,P1
R-2741,2741,P1 checks authority and scope.,0,PHASE_0_gate_report.md (QA sign-off),role sign-off recorded at Gate 0,P1
R-2742,2742,P5 checks audit reproducibility.,0,PHASE_0_gate_report.md (QA sign-off),role sign-off recorded at Gate 0,P5
R-2743,2743,P9 checks source boundaries.,0,PHASE_0_gate_report.md (QA sign-off),role sign-off recorded at Gate 0,P9
R-2744,2744,P10 checks administrative gaps and journal-template status.,0,PHASE_0_gate_report.md (QA sign-off),role sign-off recorded at Gate 0,P10
R-2748,2748,repository root and anchor commit are recorded;,0,Gate 0 (phase_gate_register.csv),Gate 0 acceptance review,P5
R-2749,2749,every expected source class is located or marked missing;,0,Gate 0 (phase_gate_register.csv),Gate 0 acceptance review,P1
R-2750,2750,empirical evidence and staging paths are clearly separated;,0,Gate 0 (phase_gate_register.csv),Gate 0 acceptance review,P1
R-2751,2751,no unresolved instruction conflict remains;,0,Gate 0 (phase_gate_register.csv),Gate 0 acceptance review,P1
R-2752,2752,engineering preflight is recorded;,0,Gate 0 (phase_gate_register.csv),Gate 0 acceptance review,P5
R-2753,2753,governance registers exist and are usable;,0,Gate 0 (phase_gate_register.csv),Gate 0 acceptance review,P1
R-2754,2754,source-line and requirement traceability contain no unmapped or partial row; and,0,Gate 0 (phase_gate_register.csv),Gate 0 acceptance review,P2
R-2756,2756,no scientific artifact was modified.,0,Gate 0 (phase_gate_register.csv),Gate 0 acceptance review,P1
R-2760,2760,"Set Phase 0 to `FROZEN` only after P1, P5, and P9 sign-off. Missing repository paths may remain only when they are explicitly blocking an...",0,phase_gate_register.csv (FROZEN transition),phase-state transition audit (Section 12.2),P1
R-2788,2788,"All generated outputs above plus a one-page `PHASE_0_readiness.md` summarizing anchor, source boundaries, toolchain, critical risks, and ...",0,PHASE_0_readiness.md,Gate 0 deliverable check,P5
R-2793,2793,"Gate 0: P1 + P5 + P9 approve. Any unexplained dirty scientific path, unclear evidence boundary, or unresolved authority conflict is a har...",0,Gate 0 decision (phase_gate_register.csv),Gate 0 approval recording,P1
R-2815,2815,Phase 0 is frozen;,1,phase_gate_register.csv (entry check),Section 12.2 ENTRY_CHECK before Phase 1,P9
R-2816,2816,`reference_papers/` and `papers/references.bib` are located or the absence is formally blocking; and,1,reference_papers/,Section 12.2 ENTRY_CHECK before Phase 1,P9
R-2818,2818,source files can be read.,1,phase_gate_register.csv (entry check),Section 12.2 ENTRY_CHECK before Phase 1,P9
R-2839,2839,Parse the BibTeX registry.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2840,2840,Enumerate keys and required fields.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2841,2841,"Detect duplicate keys, malformed entries, non-ASCII issues, and missing required metadata.",1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2843,2843,Expected count is 57; report actual count without forcing it.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2845,2845,Inventory local literature files.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2846,2846,"Enumerate filenames, formats, readability, page count, and checksum.",1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P5
R-2847,2847,"Prefer `<bibkey>.pdf` naming but match by verified identity, not filename alone.",1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2850,2850,Identity match.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2851,2851,"Compare title, authors, year, venue, DOI, and version.",1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2852,2852,Assign the identity status defined in Section 3.3.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2853,2853,Resolve minor mismatches using only the local source and BibTeX record.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2855,2855,Read every admissible source.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2856,2856,"Extract research question, method, scope, findings, limitations, and exact usable locators.",1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2858,2858,Inspect tables/figures when relevant.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P7
R-2859,2859,Do not rely only on abstracts.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2861,2861,Create evidence cards.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2862,2862,Record supported and unsupported uses.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2863,2863,"Include the exact role in DT-GSK framing, method lineage, benchmark protocol, or statistical practice.",1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P3
R-2866,2866,Build runtime admissible set.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2867,2867,Write `allowed_citation_keys.txt` from verified matches only.,1,allowed_citation_keys.txt,Phase 1 validation procedures + Gate 1 review,P9
R-2868,2868,Compare with Appendix A.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2869,2869,Record missing expected keys and unexpected extras.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2871,2871,Build citation role map.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2872,2872,"For each admissible key, record sanctioned uses and prohibited overextensions.",1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2874,2874,Do not require every key to appear in final prose.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P6
R-2876,2876,Seed evidence gaps.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P4
R-2877,2877,Identify desired claims that the local corpus cannot support.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2878,2878,Apply omit/narrow/hypothesis/block dispositions.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P1
R-2880,2880,Citation-system readiness.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2881,2881,Validate BibTeX parsing for LaTeX.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2882,2882,Prepare stable Word citation tags and a mapping to the Word source store.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P8
R-2883,2883,Do not generate citations yet.,1,literature_audit_report.md,Phase 1 validation procedures + Gate 1 review,P9
R-2887,2887,`reference_inventory.csv`,1,reference_inventory.csv,Gate 1 artifact presence/schema check,P9
R-2888,2888,`allowed_citation_keys.txt`,1,allowed_citation_keys.txt,Gate 1 artifact presence/schema check,P9
R-2889,2889,`evidence_cards/`,1,evidence_cards/,Gate 1 artifact presence/schema check,P9
R-2890,2890,`citation_role_map.csv`,1,citation_role_map.csv,Gate 1 artifact presence/schema check,P9
R-2891,2891,`evidence_gap_register.md`,1,evidence_gap_register.md,Gate 1 artifact presence/schema check,P9
R-2892,2892,`word_citation_tag_map.csv`,1,word_citation_tag_map.csv,Gate 1 artifact presence/schema check,P8
R-2893,2893,`literature_audit_report.md`,1,literature_audit_report.md,Gate 1 artifact presence/schema check,P9
R-2897,2897,Schema validation for all CSVs.,1,PHASE_1_gate_report.md,executed in Phase 1 VALIDATION state; evidence in gate report,P9
R-2898,2898,Count every BibTeX key exactly once.,1,PHASE_1_gate_report.md,executed in Phase 1 VALIDATION state; evidence in gate report,P9
R-2899,2899,Confirm every admissible key has one readable source and one evidence card.,1,PHASE_1_gate_report.md,executed in Phase 1 VALIDATION state; evidence in gate report,P9
R-2900,2900,Confirm every evidence-card locator resolves to the local source.,1,PHASE_1_gate_report.md,executed in Phase 1 VALIDATION state; evidence in gate report,P9
R-2904,2904,P9 independently checks a stratified sample of source identities and locators.,1,PHASE_1_gate_report.md,independent check recorded at Gate 1,P9
R-2905,2905,"Verify no external scientific URL, snippet, or unapproved source appears in evidence cards.",1,PHASE_1_gate_report.md,independent check recorded at Gate 1,P9
R-2907,2907,Verify source checksums match inventory.,1,PHASE_1_gate_report.md,independent check recorded at Gate 1,P5
R-2908,2908,Verify every expected key has an explicit status.,1,PHASE_1_gate_report.md,independent check recorded at Gate 1,P9
R-2912,2912,P2 reviews algorithm/method lineage cards.,1,PHASE_1_gate_report.md (QA sign-off),role sign-off recorded at Gate 1,P2
R-2913,2913,P3 reviews statistical-method cards.,1,PHASE_1_gate_report.md (QA sign-off),role sign-off recorded at Gate 1,P3
R-2914,2914,P4 reviews benchmark-source cards.,1,PHASE_1_gate_report.md (QA sign-off),role sign-off recorded at Gate 1,P4
R-2915,2915,P6 reviews citation roles and wording boundaries.,1,PHASE_1_gate_report.md (QA sign-off),role sign-off recorded at Gate 1,P6
R-2916,2916,P8 verifies stable Word tags.,1,PHASE_1_gate_report.md (QA sign-off),role sign-off recorded at Gate 1,P8
R-2920,2920,all BibTeX entries audited;,1,Gate 1 (phase_gate_register.csv),Gate 1 acceptance review,P9
R-2921,2921,all literature files inventoried;,1,Gate 1 (phase_gate_register.csv),Gate 1 acceptance review,P9
R-2922,2922,runtime citation set is explicit;,1,Gate 1 (phase_gate_register.csv),Gate 1 acceptance review,P9
R-2923,2923,every admissible source has a complete evidence card;,1,Gate 1 (phase_gate_register.csv),Gate 1 acceptance review,P9
R-2924,2924,every mismatch has a disposition;,1,Gate 1 (phase_gate_register.csv),Gate 1 acceptance review,P9
R-2925,2925,unsupported claims are entered in the gap register; and,1,Gate 1 (phase_gate_register.csv),Gate 1 acceptance review,P9
R-2926,2926,no fictional or externally completed metadata exists.,1,Gate 1 (phase_gate_register.csv),Gate 1 acceptance review,P9
R-2930,2930,Phase 1 freezes when every source intended for use is verified and claim-ready. An expected but inadmissible source may remain excluded; ...,1,phase_gate_register.csv (FROZEN transition),phase-state transition audit (Section 12.2),P9
R-2958,2958,"All generated outputs, plus `PHASE_1_gate_report.md` listing admissible count, missing expected keys, major evidence gaps, and approved s...",1,PHASE_1_gate_report.md,Gate 1 deliverable check,P9
R-2963,2963,Gate 1: P2 + P3 + P4 + P9 approve. Any intended rendered citation without a verified local source is a hard failure.,1,Gate 1 decision (phase_gate_register.csv),Gate 1 approval recording,P2
R-2988,2988,Phase 0 and Phase 1 are frozen;,2,phase_gate_register.csv (entry check),Section 12.2 ENTRY_CHECK before Phase 2,P4
R-2989,2989,`benchmarks/cec_reference_results/` and evaluator code are available; and,2,benchmarks/cec_reference_results/,Section 12.2 ENTRY_CHECK before Phase 2,P4
R-2990,2990,the selected release can be read without modification.,2,phase_gate_register.csv (entry check),Section 12.2 ENTRY_CHECK before Phase 2,P4
R-3014,3014,Verify evidence-tree layout.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3015,3015,"For CEC2017, CEC2011, and CEC2013, verify all seven optimizer directories.",2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3016,3016,"Verify flat layout and required summary, per-run, environment, run-config, seed, verification, protocol, curve, and checkpoint files.",2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3018,3018,Confirm no doubled-suite directories.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3019,3019,Verify context-suite scope separately.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3021,3021,Run machine validation. [commands in fenced block below],2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3027,3027,Archive complete output.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3028,3028,Do not hand-edit a failing cell.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3030,3030,Verify expected coverage.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3031,3031,CEC2017: seven algorithms × D10/D30/D50/D100 × 51 runs × verified 29 functions.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3033,3033,CEC2011: seven algorithms × 25 runs × verified 22 native problems.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3034,3034,CEC2013: seven algorithms × D10/D30/D50 × 51 runs × 28 functions.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3035,3035,Calculate expected row counts and compare with actual per-run and seed schedules.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3038,3038,Verify seeds and pairing.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P3
R-3039,3039,Test the expected seed formula against schedules.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3040,3040,Confirm uniqueness and deterministic mapping.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P5
R-3041,3041,Determine whether pairing is valid for each comparator.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P3
R-3043,3043,Verify FP and environment.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3044,3044,Read every `environment.json`.,2,environment.json,Phase 2 validation procedures + Gate 2 review,P4
R-3045,3045,Check suite-internal sentinel consistency.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3046,3046,Confirm expected CEC2017 prefix only as an audit target.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3047,3047,"Record hardware, libraries, solver provenance, and known numerical variation.",2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3050,3050,Verify evaluator equivalence.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3051,3051,"Hash shifts, rotations, bounds, optima, and evaluator code.",2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3052,3052,Cross-check suite metadata with approved benchmark literature.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3053,3053,Confirm function exclusions and dimension rules.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3055,3055,Verify MaxFES and objective-call accounting.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3056,3056,Inspect run configs and code.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3057,3057,Confirm local search and polish evaluations are counted.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3058,3058,Identify any algorithm-specific budget difference.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P2
R-3060,3060,Audit comparator provenance.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3061,3061,Classify each cell A–D.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3062,3062,Record imported versus locally produced origin.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3063,3063,Verify `egsk` solver provenance and prevent SciPy/MATLAB substitution inside one exhibit.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3066,3066,Build data ledger and experiment matrix.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3067,3067,One ledger row per algorithm × suite × dimension × function set.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3068,3068,One experiment row per run when feasible.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3069,3069,Include release ID and checksums.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P5
R-3071,3071,Build strict-source guard and promotion tool.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P5
R-3072,3072,Inspect `result_loader.py` and report loaders.,2,result_loader.py,Phase 2 validation procedures + Gate 2 review,P4
R-3073,3073,Disable or block `results/_run_all/` fallback for publication analyses.,2,results/_run_all/,Phase 2 validation procedures + Gate 2 review,P4
R-3074,3074,Add automated tests that fail when a resolved path is outside the selected evidence release.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3076,3076,Log every file opened by analysis.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3077,3077,Build the named promotion tool `scripts/promote_evidence.py` (tooling to build; it does not yet exist): it generates a release identifier...,2,scripts/promote_evidence.py,Phase 2 validation procedures + Gate 2 review,P4
R-3083,3083,Test the promotion tool on a scratch bundle before Gate 2.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P5
R-3085,3085,Audit manuscript assets.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3086,3086,"Enumerate `papers/`, tables, figures, scripts, section inputs, class files, and cover letter.",2,papers/,Phase 2 validation procedures + Gate 2 review,P7
R-3088,3088,"Classify `keep`, `verify`, `regenerate`, `rewrite`, `move`, `archive`, or `remove`.",2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3090,3090,Map every existing table/figure to generator and empirical input.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P7
R-3091,3091,"Mark the runbook's claim that the `results/paper_tables/` T-CSVs come ""from the stats pass"" as stale in `instruction_precedence.md` and `...",2,instruction_precedence.md,Phase 2 validation procedures + Gate 2 review,P4
R-3095,3095,Record T17–T20 as an intentional gap unless verified otherwise.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3097,3097,Audit raw/derived separation.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3098,3098,Ensure no manuscript table or figure is the only source for a number.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P7
R-3099,3099,Identify stale or orphan derivative files.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3100,3100,Verify read-only evidence permissions and checksums.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P5
R-3102,3102,Audit staging data without admitting it.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3103,3103,Inventory `results/` for reproducibility and later final ablation staging.,2,results/,Phase 2 validation procedures + Gate 2 review,P5
R-3104,3104,Mark every path non-admissible.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P9
R-3105,3105,Quarantine historical ablation outputs from primary interpretation.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3107,3107,Run engineering gates at the anchor commit.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P5
R-3108,3108,"Repeat tests, lint, profile lock, and docs build.",2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3109,3109,Record actual pass counts and failures.,2,evidence_readiness_report.md,Phase 2 validation procedures + Gate 2 review,P4
R-3113,3113,`evidence_release_manifest.json`,2,evidence_release_manifest.json,Gate 2 artifact presence/schema check,P5
R-3114,3114,`data_ledger.csv`,2,data_ledger.csv,Gate 2 artifact presence/schema check,P4
R-3115,3115,`experiment_matrix.csv`,2,experiment_matrix.csv,Gate 2 artifact presence/schema check,P4
R-3116,3116,`comparability_audit.md`,2,comparability_audit.md,Gate 2 artifact presence/schema check,P4
R-3117,3117,`benchmark_protocol_audit.md`,2,benchmark_protocol_audit.md,Gate 2 artifact presence/schema check,P4
R-3118,3118,`seed_and_pairing_audit.md`,2,seed_and_pairing_audit.md,Gate 2 artifact presence/schema check,P3
R-3119,3119,`fp_environment_audit.md`,2,fp_environment_audit.md,Gate 2 artifact presence/schema check,P4
R-3120,3120,`strict_source_guard_report.md`,2,strict_source_guard_report.md,Gate 2 artifact presence/schema check,P5
R-3121,3121,`scripts/promote_evidence.py` and its scratch-bundle test evidence,2,scripts/promote_evidence.py,Gate 2 artifact presence/schema check,P4
R-3122,3122,`asset_map.md`,2,asset_map.md,Gate 2 artifact presence/schema check,P4
R-3123,3123,`table_figure_source_map.csv`,2,table_figure_source_map.csv,Gate 2 artifact presence/schema check,P4
