artifact_id,artifact_path,artifact_type,manuscript_label,generator_script,generator_command,source_paths,source_checksums,analysis_id,evidence_release_id,commit_sha,output_checksum,scope,latex_location,word_location,validation_status
TAB-T11 (plan T06-FULL-D10),papers/tables/T11.tex,table,tab:cec2013-d10,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T11.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2013/descriptive_stats_cec2013_D10.csv,T11.csv=813618525e3136295a5eef231c23846329799d61d84347edac6697c3d1187f1f;descriptive_stats_cec2013_D10.csv=0d1ab3fe19ae0628dc47e6a4e804f2a331ebaa17e92003eb6b36553689f7dee6,descriptive-export (cec2013 D10),rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T11.tex=9c50ec97e13c1dd3121a1bddecb05e4148d6d83fc8f3f7007d52fd140da9941c,supplement,supplementary.tex,papers/tables/word_sources/T11.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T12 (plan T06-FULL-D30),papers/tables/T12.tex,table,tab:cec2013-d30,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T12.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2013/descriptive_stats_cec2013_D30.csv,T12.csv=234c92d56b72b6612872f4810e7a527fabac06ceb1fc24bfc85760b32a47d54c;descriptive_stats_cec2013_D30.csv=5b69389deec6661e9c0daef5dad6002c03634b734ea9715c3060bf4c6cbf2d97,descriptive-export (cec2013 D30),rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T12.tex=51ade08153c79667846efa80ad8453f20144dc857107ff488398c82371d95bc7,supplement,supplementary.tex,papers/tables/word_sources/T12.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T13 (plan T06-FULL-D50),papers/tables/T13.tex,table,tab:cec2013-d50,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T13.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2013/descriptive_stats_cec2013_D50.csv,T13.csv=54bfa73495ed8f8c01f863d602144d61bd10381605b2b337300f5337316bf370;descriptive_stats_cec2013_D50.csv=9531a34d9f21aa87e6110ab7b109764d8c1657ad5327474698755108ced58804,descriptive-export (cec2013 D50),rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T13.tex=dd862962bde40db3d29f068221bed662a987478f25a253adefd4f59e8cef4792,supplement,supplementary.tex,papers/tables/word_sources/T13.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T14,papers/tables/T14.tex,table,tab:cec2013_wilcoxon,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T14.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2013/wilcoxon_holm_cec2013_D10.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2013/descriptive_stats_cec2013_D10.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2013/wilcoxon_holm_cec2013_D30.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2013/descriptive_stats_cec2013_D30.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2013/wilcoxon_holm_cec2013_D50.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2013/descriptive_stats_cec2013_D50.csv,T14.csv=49da04b0c2c5c235553f79a98551acbd2e3cb18d0f12789c305961a6aaead6a1;wilcoxon_holm_cec2013_D10.csv=7420611265a1f3de9327a204dcf0715c65757626977b5469446d9e10e2bdc1e3;descriptive_stats_cec2013_D10.csv=0d1ab3fe19ae0628dc47e6a4e804f2a331ebaa17e92003eb6b36553689f7dee6;wilcoxon_holm_cec2013_D30.csv=6f255dae29ab46daa02909efeac344aa076ddfc30602900a4f56b010adcd044a;descriptive_stats_cec2013_D30.csv=5b69389deec6661e9c0daef5dad6002c03634b734ea9715c3060bf4c6cbf2d97;wilcoxon_holm_cec2013_D50.csv=4a91ac411d76cedd25fdf4585bc5326e09b7c76cbbad7b6fb061bb5ff694a8f0;descriptive_stats_cec2013_D50.csv=9531a34d9f21aa87e6110ab7b109764d8c1657ad5327474698755108ced58804,AN-PW-2013-D10;AN-PW-2013-D30;AN-PW-2013-D50,rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T14.tex=c2181e8bfcc880c397c40b28aee2db8c35b91a6b234560cceaffe046ae3c1044,supplement,supplementary.tex,papers/tables/word_sources/T14.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T15 (plan T02),papers/tables/T15.tex,table,tab:wilcoxon-holm,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T15.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/wilcoxon_holm_cec2017_D10.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D10.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/wilcoxon_holm_cec2017_D30.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D30.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/wilcoxon_holm_cec2017_D50.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D50.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/wilcoxon_holm_cec2017_D100.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D100.csv,T15.csv=199abfa91443d3e28dc12ead8d100e160fcf8153699962259fdaf9a60e963331;wilcoxon_holm_cec2017_D10.csv=f7b636d2a4dc99403f319c7af139216f9aecd09f6f32bebb76404f7788b8c8f7;descriptive_stats_cec2017_D10.csv=db7e7c46973867f209dff582d587172f6700394a332c183ad41369cb6c03c5e2;wilcoxon_holm_cec2017_D30.csv=6c7ba055760e6b6375fa96adc3b4f25165e1b0e2eb52340646983c73a3443c9b;descriptive_stats_cec2017_D30.csv=833d870ce50dd3e23f379fd59f18e3e87f238cb3fe5c5927262a37050e87a670;wilcoxon_holm_cec2017_D50.csv=39b85a4454e615265c7fdcf81000bb4b950b323c6e64fa87855d480bbc6cbb60;descriptive_stats_cec2017_D50.csv=d1e47ba789121466d2f420902e190b63ce2be561bbf9a075ac45744425b589b6;wilcoxon_holm_cec2017_D100.csv=d055a23c3f858efa7d71b4d1887dd898d584fedfbdb7a1daa065eddcbe079d3e;descriptive_stats_cec2017_D100.csv=b4a9c54f61ae6d6c3d00ee563300ab850b815542dcda8887f924747a4e10538b,AN-PW-2017-D10;AN-PW-2017-D30;AN-PW-2017-D50;AN-PW-2017-D100,rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T15.tex=6f8219ab3fce8535d79f531165a675bce75b76df95ad78a77cda7f97f4db448b,main,sections/performance.tex,papers/tables/word_sources/T15.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T16 (plan T05),papers/tables/T16.tex,table,tab:friedman-cec2017,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T16.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_D10.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_D30.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_D50.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_D100.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_overall.csv,T16.csv=e7283882d27cd624d0ed38f2b8e414ba83faf7726e968588970b0308138ff446;friedman_ranks_cec2017_D10.csv=8722300fb474ce01881af6eff4ca906bdb899111a47e4fbba6c7bc07712a9dc4;friedman_ranks_cec2017_D30.csv=b84a828a8e831118a9b1a57437c440ab1c7b193d6abfa494572b1b1e46c0b3ab;friedman_ranks_cec2017_D50.csv=9eef8cce5807a88915904712c9afecd41b8557caa8798e1cc8d1e3bdb696118b;friedman_ranks_cec2017_D100.csv=f4d740ce780f7c67874f02aadb1dee85c29812d4bf1005458132781dc4345524;friedman_ranks_cec2017_overall.csv=9ea7a7ad707b82798c9bc44a146fd1ccf68a778eab6c7547ef312d49df601a89,AN-OMNI-2017-D10;AN-OMNI-2017-D30;AN-OMNI-2017-D50;AN-OMNI-2017-D100;AN-RANKAGG-2017-OVERALL,rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T16.tex=ca54c1f8135090d8003794b727b8c89c7e7f1319e99ca2093f92a21e4d9259b2,main,sections/performance.tex,papers/tables/word_sources/T16.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T16-BCA (plan T-BCA),papers/tables/T16_bca.tex,table,tab:bca-ci,papers/scripts/generate_t16_bca.py,python papers/scripts/generate_t16_bca.py,papers/analysis/rel-2026-07-16-78f075cb0/cec2017/descriptive_stats_cec2017_D10.csv;papers/analysis/rel-2026-07-16-78f075cb0/cec2017/descriptive_stats_cec2017_D30.csv;papers/analysis/rel-2026-07-16-78f075cb0/cec2017/descriptive_stats_cec2017_D50.csv;papers/analysis/rel-2026-07-16-78f075cb0/cec2017/descriptive_stats_cec2017_D100.csv,descriptive_stats_cec2017_D10.csv=db7e7c46973867f209dff582d587172f6700394a332c183ad41369cb6c03c5e2;descriptive_stats_cec2017_D30.csv=833d870ce50dd3e23f379fd59f18e3e87f238cb3fe5c5927262a37050e87a670;descriptive_stats_cec2017_D50.csv=d1e47ba789121466d2f420902e190b63ce2be561bbf9a075ac45744425b589b6;descriptive_stats_cec2017_D100.csv=b4a9c54f61ae6d6c3d00ee563300ab850b815542dcda8887f924747a4e10538b,"rank-CI companion (midrank Friedman ranks + seeded BCa, BASE_SEED=20260422, n_boot=10000; distinct inspected analysis)",rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T16_bca.tex=e8d8c6287085db44fc2c49c31f717ab4a9dadcd9f21916a394b46d61a8a94fb3,supplement,sections/performance.tex,papers/tables/word_sources/T16_bca.json,"validated-value-level (byte-identical seeded re-derivation; point estimates == T16 at 2 dp; papers/build_prompt_phases/phase_07/exhibit_validation_report.md); NOTE: word_sources/T16_bca.json carries the bundle T-BCA per-function companion (headline_bca.csv), not this rank-CI table -- Phase 9 must reconcile (cross_format_consistency)"
FIG-CONV-MAIN-D30 (plan F02-MAIN-D30),papers/figures/convergence/main_cec2017_D30.pdf;papers/figures/convergence/main_cec2017_D30.png,figure,fig:conv-cec2017-d30,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,"papers/build_prompt_phases/phase_05/curve_selection.csv;benchmarks/cec_reference_results/cec2017/<alg>/gen_logs/CheckpointErrors_<alg>_F{3,10,12,26}_D30.csv (7 algs x 4 funcs = 28 files)",curve_selection.csv=e8cc8fa183e639f5bd5d7df2866a2ffe5a4f233adf79cffdffa037b6dce9d8c6;aggregate-sha256(28 files)=d8580830b89a0b4fe63cfe2236db233a6b5f6578325bbc49660c7a1470f44592,"AN-CONV-2017-D30 (P2/P5, CR-0001)",rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),main_cec2017_D30.pdf=c96e24d1a7479517af8000f1b79efbd22696dedfa52e4f6ab77ef0fec9f23f9c;main_cec2017_D30.png=2fb4b6c010ae6c742e8383c0d9c80a99aaff02d252dd5a0a672ea12ed9636ad6,main,performance.tex:769,pending-phase9 (Word figure embed),validated-sample-endpoints (all 4 panels x 7 algorithms; papers/build_prompt_phases/phase_07/exhibit_validation_report.md); series-count 7/7 (cec2017_missing.log)
FIG-CONV-MAIN-D100 (plan F02-MAIN-D100),papers/figures/convergence/main_cec2017_D100.pdf;papers/figures/convergence/main_cec2017_D100.png,figure,fig:conv-cec2017-d100,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,"papers/build_prompt_phases/phase_05/curve_selection.csv;benchmarks/cec_reference_results/cec2017/<alg>/gen_logs/CheckpointErrors_<alg>_F{1,5,12,26}_D100.csv (7 algs x 4 funcs = 28 files)",curve_selection.csv=e8cc8fa183e639f5bd5d7df2866a2ffe5a4f233adf79cffdffa037b6dce9d8c6;aggregate-sha256(28 files)=01c224ff18cfb486c2868709d48e4da481485fc401e6619bb04abe7ec3172ab0,"AN-CONV-2017-D100 (P2/P5, CR-0001)",rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),main_cec2017_D100.pdf=474858803d73f0dce5c78ebbe295984e2dd90a08ec9acb1c106ae9afd3f2e894;main_cec2017_D100.png=845ebfdd145964701168509654a245f072b2e7c5704ad2fa3936fa494dfaceee,main,performance.tex:782,pending-phase9 (Word figure embed),"validated-sample-endpoints (F1,F12 panels x 7 algorithms; papers/build_prompt_phases/phase_07/exhibit_validation_report.md); series-count 7/7 (cec2017_missing.log)"
FIG-CONV-SUP-2017-D10-A (plan F02-SUP-CEC2017-D10),papers/figures/convergence/all_funcs_D10_a.pdf;papers/figures/convergence/all_funcs_D10_a.png,figure,fig:sconv-cec2017-d10-a,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,"benchmarks/cec_reference_results/cec2017/<alg>/gen_logs/CheckpointErrors_<alg>_F{1,3,4,5,6,7,8,9}_D10.csv (7 algs x 8 funcs = 56 files)",aggregate-sha256(56 files)=dce974160b076d9779f1f3bf629cbf09772e149eff0a42f7df1861604d8d1856,"AN-CONV-2017-D10 (P2, CR-0001)",rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),all_funcs_D10_a.pdf=77f9986f8be17141088c5012d3f28b96cb1a37ff3746e32d3276f659e9126cce;all_funcs_D10_a.png=9a8c05580e7267ab49d8c0727dac6bec3288690aa05eedff28cf05e5525e774a,supplement,sections/performance.tex,pending-phase9 (Word figure embed),series-count-verified 7/7 in all panels (papers/figures/convergence/cec2017_missing.log); sampled panels value-validated (papers/build_prompt_phases/phase_07/exhibit_validation_report.md) | SE-022 2026-07-22: manuscript_label repaired from 'fig:sconv-cec2017-d10' (label did not exist in the shipped sources)
FIG-CONV-SUP-2017-D10-B (plan F02-SUP-CEC2017-D10),papers/figures/convergence/all_funcs_D10_b.pdf;papers/figures/convergence/all_funcs_D10_b.png,figure,fig:sconv-cec2017-d10-b,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,"benchmarks/cec_reference_results/cec2017/<alg>/gen_logs/CheckpointErrors_<alg>_F{10,11,12,13,14,15,16,17}_D10.csv (7 algs x 8 funcs = 56 files)",aggregate-sha256(56 files)=432e734a89450bc23932149894d6b21ad9a0a40e39b87435b8cdf636f4f16373,"AN-CONV-2017-D10 (P2, CR-0001)",rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),all_funcs_D10_b.pdf=b5a565b6322e79c44f43a3b1f489e18da57de6001f1fa65ef621a7f6a25258fd;all_funcs_D10_b.png=4b52b5ce8392f7873eae56bdc3bd19850aa06bd90412af870ba8c575a3b91887,supplement,sections/performance.tex,pending-phase9 (Word figure embed),series-count-verified 7/7 in all panels (papers/figures/convergence/cec2017_missing.log); sampled panels value-validated (papers/build_prompt_phases/phase_07/exhibit_validation_report.md) | SE-022 2026-07-22: manuscript_label repaired from 'fig:sconv-cec2017-d10' (label did not exist in the shipped sources)
FIG-CONV-SUP-2017-D10-C (plan F02-SUP-CEC2017-D10),papers/figures/convergence/all_funcs_D10_c.pdf;papers/figures/convergence/all_funcs_D10_c.png,figure,fig:sconv-cec2017-d10-c,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,"benchmarks/cec_reference_results/cec2017/<alg>/gen_logs/CheckpointErrors_<alg>_F{18,19,20,21,22,23,24,25}_D10.csv (7 algs x 8 funcs = 56 files)",aggregate-sha256(56 files)=d0ca133158526013522720e05ba2d217cefe13fb6ece0ce5a7aa85b7c05dc0aa,"AN-CONV-2017-D10 (P2, CR-0001)",rel-2026-07-16-78f075cb0,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),all_funcs_D10_c.pdf=d6419f5d530c1d511f3c70123715e2e36e2e83b6e315626ec8455ed839e18afe;all_funcs_D10_c.png=23c62b7b4f237d62ef934746a75d3cac04198f1c263a8137f907a3cbc3f7da2a,supplement,sections/performance.tex,pending-phase9 (Word figure embed),series-count-verified 7/7 in all panels (papers/figures/convergence/cec2017_missing.log); sampled panels value-validated (papers/build_prompt_phases/phase_07/exhibit_validation_report.md) | SE-022 2026-07-22: manuscript_label repaired from 'fig:sconv-cec2017-d10' (label did not exist in the shipped sources)
