doc,artifact_type,artifact_id,status,method,detail,format_only_difference,content_hash
DT-GSK.docx,heading_runin,By aggregate counts.,PASS,pdf-text-containment,,,48e9b96201d5
DT-GSK.docx,heading,5. Conclusions,PASS,pdf-outline-match,,,b536777ff175
DT-GSK.docx,heading_runin,Limitations.,PASS,pdf-text-containment,,,a7c04c64ed3f
DT-GSK.docx,heading,Supplementary Materials,PASS,pdf-text-containment,not a PDF outline entry,,5e789166dc73
DT-GSK.docx,heading,Author Contributions,PASS,pdf-text-containment,not a PDF outline entry,,13d30b2809bd
DT-GSK.docx,heading,Funding,PASS,pdf-text-containment,not a PDF outline entry,,6ff171c66738
DT-GSK.docx,heading,Acknowledgments,PASS,pdf-text-containment,not a PDF outline entry,,5d9540ff93a7
DT-GSK.docx,heading,Conflicts of Interest,PASS,pdf-text-containment,not a PDF outline entry,,f49975e42802
DT-GSK.docx,heading,Abbreviations,PASS,pdf-text-containment,not a PDF outline entry,,a90aba13b6fe
DT-GSK.docx,heading,References,PASS,pdf-outline-match,,,5d20d0fee3b9
DT-GSK.docx,heading_inventory,40 numbered headings,PASS,outline-coverage,"34 PDF outline entries, 34 matched",,
DT-GSK.docx,caption,Table 1.  GSK-family review summary for the six published algorithms o,PASS,alnum-containment,,,349cadb294f0
DT-GSK.docx,caption,Table 2.  Structure-learning taxonomy positioning ISM against differen,PASS,alnum-containment,,,104af94649ff
DT-GSK.docx,caption,"Table 3.  Core notation: problem, population, and base-GSK symbols use",PASS,alnum-containment,,,524392f1d378
DT-GSK.docx,caption,Table 4.  Architecture of DT-GSK: the eight subsystems composed around,PASS,alnum-containment,,,61b8fbc860ef
DT-GSK.docx,caption,Algorithm 1. Pseudo-code of the DT-GSK algorithm. The junior and senio,PASS,alnum-containment,,,821abb3bdae4
DT-GSK.docx,caption,"Figure 1.  Flowchart of the base GSK algorithm of Mohamed et al. [5], ",PASS,alnum-containment,,,b540ee80c15b
DT-GSK.docx,caption,"Figure 2.  Flowchart of the DT-GSK algorithm, drawn in the same style ",PASS,alnum-containment,,,40d2785dc2c4
DT-GSK.docx,caption,Table 5.  Subsystem activation across the frozen configuration’s four ,PASS,alnum-containment,,,d5c8be688636
DT-GSK.docx,caption,Table 6.  Scaffold notation (Contribution C2): symbols for the ACE/ARG,PASS,alnum-containment,,,86c698fdcd68
DT-GSK.docx,caption,Table 7.  Worked numeric example at D=50: the tier-resolved NLPSR sche,PASS,alnum-containment,,,c7ff14c96592
DT-GSK.docx,caption,Table 8.  Interaction-structure memory and eigenframe-polish notation ,PASS,alnum-containment,,,bf657d5636aa
DT-GSK.docx,caption,Table 9.  How strictly improving accepted moves become exploitable str,PASS,alnum-containment,,,952d2fc483df
DT-GSK.docx,caption,Table 10.  Frozen run parameters of the shipped configuration (core). ,PASS,alnum-containment,,,d2e9decdffaf
DT-GSK.docx,caption,Table 11.  GSK-family panel roster and configuration provenance. All p,PASS,alnum-containment,,,cbaaae1e6109
DT-GSK.docx,caption,Table 12.  GSK-family comparator parameter settings exactly as run in ,PASS,alnum-containment,,,d70d8e311a44
DT-GSK.docx,caption,"Table 13.  Frozen evaluation protocol, one row per suite. The seed sch",PASS,alnum-containment,,,794f4f60f776
DT-GSK.docx,caption,Table 14.  Friedman mean ranks (lower is better) of the seven-algorith,PASS,alnum-containment,,,44093e8f50f9
DT-GSK.docx,caption,"Figure 3.  Friedman mean ranks per dimension (CEC2017, 29 functions, 5",PASS,alnum-containment,,,71b0fe3fcb4f
DT-GSK.docx,caption,Table 15.  DT-GSK vs. each GSK-family comparator on CEC2017 (29 functi,PASS,alnum-containment,,,169f5cfc525a
DT-GSK.docx,caption,Figure 4.  Nemenyi mean-rank plots with critical-difference (CD) span ,PASS,alnum-containment,,,de3b67891a8a
DT-GSK.docx,caption,Figure 5.  Friedman mean ranks over the 22 CEC2011 real-world problems,PASS,alnum-containment,,,b1699afe5ffb
DT-GSK.docx,caption,Table 16.  Friedman mean ranks (lower is better) of the seven-algorith,PASS,alnum-containment,,,cf3ce3ccdeba
DT-GSK.docx,caption,Table 17.  CEC2020 final panel results: tie-corrected Friedman mean ra,PASS,alnum-containment,,,7972d093ccc0
DT-GSK.docx,caption,Table 18.  CEC2013LSGO final family panel: tie-corrected Friedman mean,PASS,alnum-containment,,,2cb83e944f2f
DT-GSK.docx,caption,Figure 6.  Family-overlay convergence on CEC2017 at D=30 for the four ,PASS,alnum-containment,,,3dd5c56ddb6b
DT-GSK.docx,caption,Figure 7.  Family-overlay convergence on CEC2017 at D=100 (tier where ,PASS,alnum-containment,,,5ede0c86d36e
DT-GSK.docx,caption,Table 19.  Measured per-run wall-clock time of DT-GSK on CEC2017 (seco,PASS_FORMAT_DIFF,alnum-window-coverage,coverage=0.94,math glyph/precision rendering in caption,6158857297c1
DT-GSK.docx,table_authored,authored_0 (Variant...),PASS_FORMAT_DIFF,tex-detex-rowset,"6/7 rows identical, 1 math-styling rows",LaTeX math command text vs OMML glyph extraction,03f184e2bf58
DT-GSK.docx,table_authored,authored_1 (...),PASS,tex-detex-rowset,5 rows identical,,736f3c70e1cb
DT-GSK.docx,table_authored,authored_2 (Symbol...),PASS_FORMAT_DIFF,tex-detex-rowset,"22/23 rows identical, 1 math-styling rows",LaTeX math command text vs OMML glyph extraction,7c4409cfcb2a
DT-GSK.docx,table_authored,authored_3 (Subsystem (Eq.)...),PASS,tex-detex-rowset,10 rows identical,,c3778425160b
DT-GSK.docx,table_authored,authored_4 (Subsystem (Eq.)...),PASS,tex-detex-rowset,11 rows identical,,2f1e87e8bbc6
DT-GSK.docx,table_authored,authored_5 (Symbol...),PASS_FORMAT_DIFF,tex-detex-rowset,"18/21 rows identical, 3 math-styling rows",LaTeX math command text vs OMML glyph extraction,28cc2c875ded
DT-GSK.docx,table_authored,authored_6 (x...),PASS_FORMAT_DIFF,tex-detex-rowset,"7/8 rows identical, 1 math-styling rows",LaTeX math command text vs OMML glyph extraction,946c651233bc
DT-GSK.docx,table_authored,authored_7 (Symbol...),PASS_FORMAT_DIFF,tex-detex-rowset,"7/11 rows identical, 4 math-styling rows",LaTeX math command text vs OMML glyph extraction,c326505db669
DT-GSK.docx,table_authored,authored_8 (Stage...),PASS,tex-detex-rowset,4 rows identical,,a6c993e7e964
DT-GSK.docx,table_authored,authored_9 (Parameter...),PASS_FORMAT_DIFF,tex-detex-rowset,"14/15 rows identical, 1 math-styling rows",LaTeX math command text vs OMML glyph extraction,147b50843b7f
DT-GSK.docx,table_authored,authored_10 (Algorithm...),PASS,tex-detex-rowset,8 rows identical,,33d745b157ae
DT-GSK.docx,table_authored,authored_11 (Algorithm...),PASS,tex-detex-rowset,7 rows identical,,a828572428d6
DT-GSK.docx,table_authored,authored_12 (Suite...),PASS_FORMAT_DIFF,tex-detex-rowset,"8/10 rows identical, 2 math-styling rows",LaTeX math command text vs OMML glyph extraction,57545096e2d5
DT-GSK.docx,table_generated,T16 (Table 16),PASS_FORMAT_DIFF,wsource-exact + tex-display-precision,7 data rows; header rows 1; all display strings derivable,DOCX = semantic full precision; PDF = display-rounded; equal at display precision,c4cde358d1c5
DT-GSK.docx,table_pdf_spot,T16,PASS,squash-containment,10/10 sampled display values found,,
DT-GSK.docx,table_generated,T15 (Table 15),PASS_FORMAT_DIFF,wsource-exact + tex-display-precision,6 data rows; header rows 4; all display strings derivable,DOCX = semantic full precision; PDF = display-rounded; equal at display precision,61642d03800d
DT-GSK.docx,table_pdf_spot,T15,PASS,squash-containment,10/10 sampled display values found,,
DT-GSK.docx,table_authored,authored_15 (Algorithm...),PASS,tex-detex-rowset,8 rows identical,,19719bb73f6c
DT-GSK.docx,table_authored,authored_16 (Algorithm...),PASS_FORMAT_DIFF,tex-detex-rowset,"10/12 rows identical, 2 math-styling rows",LaTeX math command text vs OMML glyph extraction,66a4c8d9dc16
DT-GSK.docx,table_authored,authored_17 (Algorithm...),PASS,tex-detex-rowset,8 rows identical,,99b444fe9de6
DT-GSK.docx,table_authored,authored_18 (CEC2017 dimension...),PASS,tex-detex-rowset,5 rows identical,,e40b0187e902
DT-GSK.docx,table_authored,authored_19 (GSK...),PASS,tex-detex-rowset,18 rows identical,,0c69eaed246c
DT-GSK.docx,paragraph,"1 Operations Research Department, Faculty of Graduate Studie",PASS,alnum-containment,,,7a93bd7506f5
DT-GSK.docx,paragraph,Keywords: metaheuristic optimization; gaining-sharing knowle,PASS,alnum-containment,,,af154a757109
DT-GSK.docx,paragraph,Bound-constrained continuous minimization under a hard evalu,PASS,alnum-containment,,,e931647f5d53
DT-GSK.docx,paragraph,GSK is a human-inspired metaheuristic whose junior and senio,PASS,alnum-containment,,,5a3195f4c3ad
DT-GSK.docx,paragraph,The common boundary of the GSK-family variants cited in this,PASS,alnum-containment,,,c23fb60c243e
DT-GSK.docx,paragraph,"C1 — an eigenframe final polish. A one-shot, RNG-free determ",PASS,alnum-containment,,,3ab2594a2430
DT-GSK.docx,paragraph,C2 — a dimension-tiered adaptive scaffold. The Adaptive Cont,PASS,alnum-containment,,,a6e37db9dc13
DT-GSK.docx,paragraph,"C3 — a controlled, reproducible family evaluation. A 13-subs",PASS,alnum-containment,,,e30aee9ef94c
DT-GSK.docx,paragraph,"The interaction-structure memory is an online, decaying, evi",PASS,alnum-containment,,,300bd5dbec30
DT-GSK.docx,paragraph,The remainder of the paper is organized as follows. Section ,PASS,alnum-containment,,,653c33e508dc
DT-GSK.docx,paragraph,Adaptation within the GSK family has been almost entirely sc,PASS,alnum-containment,,,0a116df63fed
DT-GSK.docx,paragraph,The gaining-sharing knowledge algorithm (GSK) is a human-ins,PASS,alnum-containment,,,4060962ad376
DT-GSK.docx,paragraph,The descendants attack that weakness at three levels: parame,PASS,alnum-containment,,,4a35fe345458
DT-GSK.docx,paragraph,FDB-AGSK redesigned AGSK’s donor policy instead of its param,PASS,alnum-containment,,,d97e7706bf33
DT-GSK.docx,paragraph,The two composite variants add memory and local refinement. ,PASS,alnum-containment,,,38bb9526dcbd
DT-GSK.docx,paragraph,The wider variant literature groups its own improvements int,PASS,alnum-containment,,,b11773b56acd
DT-GSK.docx,paragraph,Learning structure from the search itself is well establishe,PASS,alnum-containment,,,9f48448522d1
DT-GSK.docx,paragraph,The interaction-structure memory occupies a point none of th,PASS,alnum-containment,,,d6d79815fbca
DT-GSK.docx,paragraph,"Three technical deficiencies, each traceable to the variants",PASS,alnum-containment,,,84f06c4cfab0
DT-GSK.docx,paragraph,"First, structure blindness. Every variant in Table 1 adapts ",PASS,alnum-containment,,,3845f36d8455
DT-GSK.docx,paragraph,"Second, endgame refinement without determinism or budget saf",PASS,alnum-containment,,,b9b38b0aa27a
DT-GSK.docx,paragraph,"Third, regime-limited adaptation evidence. AGSK’s and APGSK’",PASS,alnum-containment,,,7f2a7d4fe133
DT-GSK.docx,paragraph,"The bounded gap is therefore: within the GSK operator style,",PASS,alnum-containment,,,b95e327c5fad
DT-GSK.docx,paragraph,DT-GSK retains the junior and senior gaining-sharing vector-,PASS,alnum-containment,,,ce4bb53bc7de
DT-GSK.docx,paragraph,"Table 3 collects the core problem, population, and base-GSK ",PASS_FORMAT_DIFF,alnum-split-containment,paragraph verbatim in two contiguous runs,page-break/float interleaves PDF extraction mid-paragraph,2023e37a0039
DT-GSK.docx,paragraph,We consider bound-constrained minimization of f:RD→R over th,PASS,alnum-window-coverage,coverage=0.98,,ccf80efbc558
DT-GSK.docx,paragraph,These four elements — the junior/senior operator with its in,PASS,alnum-containment,,,94f952061a50
DT-GSK.docx,paragraph,At the rank boundaries the neighbour pair is taken from the ,PASS,alnum-containment,,,93f302c01b75
DT-GSK.docx,equation_display,"(2) R1∼U(Pbest), R2∼U(Pmid), R3∼U(Pworst),  |Pbest|=|P",PASS_FORMAT_DIFF,equation-number + source identity,eq number rendered in PDF,OMML linear text vs PDF math glyph extraction order,75f82be287fd
DT-GSK.docx,paragraph,Each coordinate joins the junior phase independently with pr,PASS,alnum-containment,,,0e2b5e79d224
DT-GSK.docx,equation_display,"(4) junior: ui =xi+KF (xR1−xR2)+sJ (xR3−xi) ,senior: u",PASS_FORMAT_DIFF,equation-number + source identity,eq number rendered in PDF,OMML linear text vs PDF math glyph extraction order,34b5f3ddf779
DT-GSK.docx,paragraph,"Here sJ,sS∈{+1,−1} are the signs of two different fitness co",PASS,alnum-containment,,,071c59b0ad6f
DT-GSK.docx,equation_display,(5) vij=uijif mij=1xijotherwise  mij∼Bernoulli(KR)per-,PASS_FORMAT_DIFF,equation-number + source identity,eq number rendered in PDF,OMML linear text vs PDF math glyph extraction order,20373785b046
DT-GSK.docx,equation_display,"(6) NP(x)=round↑12​NPinit+Nmin−NPinitx(1−x),  x=tMaxFE",PASS_FORMAT_DIFF,equation-number + source identity,eq number rendered in PDF,OMML linear text vs PDF math glyph extraction order,00da0e76c637
DT-GSK.docx,equation_display,"(7) dm=​​i: si=m​​​f(xi)−f(vi),  S=m​dm,  P(z)=arg min",PASS_FORMAT_DIFF,equation-number + source identity,eq number rendered in PDF,OMML linear text vs PDF math glyph extraction order,6d217cfb6000
DT-GSK.docx,equation_display,"(10) xi←repair​xi+γ C(0,1), γ=rs u−ℓD, worst round(rc N",PASS_FORMAT_DIFF,equation-number + source identity,eq number rendered in PDF,OMML linear text vs PDF math glyph extraction order,faf643d4b705
DT-GSK.docx,equation_display,"(11) G• ←λ G•+ηi ∈ I+​wi ϕ•(δi) ϕ•(δi)​⊤,  δi=ΔxiΔxi1, ",PASS_FORMAT_DIFF,equation-number + source identity,eq number rendered in PDF,OMML linear text vs PDF math glyph extraction order,d36bcfefa6c0
DT-GSK.docx,equation_display,"(13) stream0 =threefry(seed),  streamk=threefry(sk),sk ",PASS_FORMAT_DIFF,equation-number + source identity,eq number rendered in PDF,OMML linear text vs PDF math glyph extraction order,bd387ebd5df5
DT-GSK.docx,paragraph,where M=2 147 483 646 is the child-seed modulus (Supplementa,PASS,alnum-containment,,,e55d1de9a6b8
DT-GSK.docx,paragraph,"DT-GSK ships as a single frozen configuration, which resolve",PASS,alnum-containment,,,c9057dd146b0
DT-GSK.docx,paragraph,One configuration asymmetry follows from running each algori,PASS,alnum-containment,,,2f86d5666d5e
DT-GSK.docx,paragraph,Within one generation the subsystems execute in the fixed or,PASS,alnum-containment,,,8bb47f9982c5
DT-GSK.docx,paragraph,Nonlinear Population-Size Reduction (NLPSR).,PASS,alnum-containment,,,af958851fbfa
DT-GSK.docx,paragraph,Operator-arm sampling by the Adaptive Control Engine (ACE).,PASS,alnum-containment,,,a91e06fb87e9
DT-GSK.docx,paragraph,Junior/senior trial construction and crossover masking.,PASS,alnum-containment,,,df40ffb5758a
DT-GSK.docx,paragraph,Elitist acceptance and the diversity-archive update.,PASS,alnum-containment,,,d10aeac38ede
DT-GSK.docx,paragraph,"At D≥50, the interaction-graph (ISM) update from strictly im",PASS,alnum-containment,,,f62936aa74f1
DT-GSK.docx,paragraph,The operator-credit update and Acceptance-Rate Gated Pruning,PASS,alnum-containment,,,3febff8ed8f0
DT-GSK.docx,paragraph,Stagnation escape by the Budget-Safe Escape (BSE) mechanism.,PASS,alnum-containment,,,2b70c3b93279
DT-GSK.docx,paragraph,The charged coordinate local search.,PASS,alnum-containment,,,77e386e15745
DT-GSK.docx,paragraph,"At D≥50, the one-shot eigenframe final polish in the final b",PASS,alnum-containment,,,0dfc989b09b4
DT-GSK.docx,paragraph,The D≥100 upper-tier controllers do not form a separate step,PASS_FORMAT_DIFF,alnum-split-containment,paragraph verbatim in two contiguous runs,page-break/float interleaves PDF extraction mid-paragraph,34d5807a60de
DT-GSK.docx,paragraph,A step written “if D≥d” in Algorithm 1 is inactive below tie,PASS,alnum-containment,,,e5a3aa439619
DT-GSK.docx,paragraph,Dimension-tier gating is stated once and holds everywhere. T,PASS,alnum-containment,,,96ddfb992da4
DT-GSK.docx,paragraph,The scaffold answers a control and budget problem: a single ,PASS_FORMAT_DIFF,alnum-split-containment,paragraph verbatim in two contiguous runs,page-break/float interleaves PDF extraction mid-paragraph,2637743f44c0
DT-GSK.docx,paragraph,"A fixed (KF,KR,Kexp) triple that suits one landscape or one ",PASS,alnum-containment,,,6344d983d891
DT-GSK.docx,paragraph,ACE instead adapts at the operator level: it maintains a poo,PASS_FORMAT_DIFF,alnum-split-containment,paragraph verbatim in two contiguous runs,page-break/float interleaves PDF extraction mid-paragraph,be76d6e6eb12
DT-GSK.docx,paragraph,The probability floor that keeps ACE exploring also forces d,PASS,alnum-containment,,,91d0f634fc9c
DT-GSK.docx,paragraph,NLPSR is explicitly not claimed as new. It keeps the concave,PASS,alnum-containment,,,5858f5e828fb
DT-GSK.docx,paragraph,Greedy selection over a shrinking population can stagnate: n,PASS,alnum-containment,,,6d27dc9a5e89
DT-GSK.docx,paragraph,BSE perturbs within the current basin; a search that is deep,PASS,alnum-containment,,,e0e9d7e5773f
DT-GSK.docx,paragraph,"As established in Section 2, no cited GSK-family variant lea",PASS_FORMAT_DIFF,alnum-split-containment,paragraph verbatim in two contiguous runs,page-break/float interleaves PDF extraction mid-paragraph,586576b476ac
DT-GSK.docx,paragraph,The interaction-structure memory accumulates this evidence i,PASS,alnum-containment,,,8c303d752868
DT-GSK.docx,paragraph,"ISM consumes no extra objective evaluations, since it observ",PASS,alnum-containment,,,7e8c702a3778
DT-GSK.docx,paragraph,The learned structure is exploited through two active channe,PASS,alnum-containment,,,d8e5d00733a0
DT-GSK.docx,paragraph,ISM activates at D≥50 under the frozen configuration; below ,PASS,alnum-containment,,,e611d99ad20f
DT-GSK.docx,paragraph,"At the end of a budget-limited run, the incumbent typically ",PASS,alnum-containment,,,e663c093cb45
DT-GSK.docx,paragraph,The eigenframe final polish is a one-shot deterministic comp,PASS,alnum-containment,,,41a845798d12
DT-GSK.docx,paragraph,"At D≥100, the frozen configuration enables a set of protecti",PASS,alnum-containment,,,00d9d618f0a1
DT-GSK.docx,paragraph,"Table 10 consolidates DT-GSK’s tier-resolved configuration, ",PASS,alnum-containment,,,359cce22f345
DT-GSK.docx,paragraph,"Per-subsystem constants (ACE/ARGP, linkage crossover, BSE/ar",PASS,alnum-containment,,,124c2a0e7dc4
DT-GSK.docx,paragraph,Table 11 records the comparator panel and its configuration ,PASS,alnum-containment,,,23a0f37efe90
DT-GSK.docx,paragraph,The exact numeric settings behind “published constants” are ,PASS,alnum-containment,,,13dd95097d8a
DT-GSK.docx,paragraph,"Determinism is contribution C3’s core. A 13-substream, appen",PASS,alnum-containment,,,9a30860f1a05
DT-GSK.docx,paragraph,"Per generation, the scaffold costs what the base algorithm c",PASS,alnum-containment,,,aafd4d8f8934
DT-GSK.docx,paragraph,Every objective evaluation flows through a single budget con,PASS,alnum-containment,,,c4819298e99f
DT-GSK.docx,paragraph,On CEC2017 DT-GSK attains the best overall Friedman mean ran,PASS,alnum-containment,,,384af8fa2c19
DT-GSK.docx,paragraph,Every empirical value in this paper derives from a versioned,PASS,alnum-containment,,,b122d4212ea2
DT-GSK.docx,paragraph,One provenance qualification applies: the eGSK panel cells d,PASS,alnum-containment,,,6c7c08e7ec40
DT-GSK.docx,paragraph,Table 13 summarizes the frozen protocol. The primary suite i,PASS,alnum-containment,,,564eebc6ec04
DT-GSK.docx,paragraph,"The real-world suite is CEC2011 [2], which supplies real-wor",PASS,alnum-containment,,,719265ae009b
DT-GSK.docx,paragraph,"Finally, CEC2013 [32] is reported as a second comparison sui",PASS,alnum-containment,,,633cd9c29b89
DT-GSK.docx,paragraph,Two further suites were added after the primary release unde,PASS,alnum-containment,,,a13923981a5d
DT-GSK.docx,paragraph,The CEC2013LSGO large-scale suite [34] — distinct from the b,PASS,alnum-containment,,,14701434ec6e
DT-GSK.docx,paragraph,The comparison panel is exactly the seven-algorithm GSK fami,PASS,alnum-containment,,,3aca9026fb76
DT-GSK.docx,paragraph,"That configuration was, however, selected on CEC2017, which ",PASS,alnum-containment,,,a5f4b29f75d0
DT-GSK.docx,paragraph,"Runs are paired across optimizers by common seed, problem in",PASS,alnum-containment,,,98edb78007af
DT-GSK.docx,paragraph,"For the six comparators, run r additionally starts from the ",PASS,alnum-containment,,,a64db006c3a9
DT-GSK.docx,paragraph,One evidence gap is disclosed up front. At the time of the f,PASS,alnum-containment,,,3897913bcbbe
DT-GSK.docx,paragraph,All runs were executed on a 22-logical-core Windows workstat,PASS,alnum-containment,,,7fed80b0b91d
DT-GSK.docx,paragraph,The analysis bundle records its own environment (NumPy 2.2.6,PASS,alnum-containment,,,3ffe5da339ca
DT-GSK.docx,paragraph,"For DT-GSK, every objective evaluation, including polish and",PASS,alnum-containment,,,198383099e52
DT-GSK.docx,paragraph,Runs are budget-exact and repeat-identical; byte-identical r,PASS,alnum-containment,,,ba619abc25b3
DT-GSK.docx,paragraph,"No generative-AI system contributed to the design, execution",PASS,alnum-containment,,,f9acd2feb884
DT-GSK.docx,paragraph,Hypotheses are stated once here. For each comparator and dim,PASS,alnum-window-coverage,coverage=0.99,,229153a50185
DT-GSK.docx,paragraph,"For the multi-algorithm view, a Friedman test [38] with the ",PASS,alnum-window-coverage,coverage=0.99,,a6d51c97757b
DT-GSK.docx,paragraph,The complete per-comparison workbooks — including signed-ran,PASS,alnum-containment,,,5c53c4dea0fb
DT-GSK.docx,paragraph,The complete per-function tables are provided at every dimen,PASS,alnum-containment,,,57bb70ac3c67
DT-GSK.docx,paragraph,"By function class, the pattern is dimension-dependent. On th",PASS,alnum-containment,,,3b522567c659
DT-GSK.docx,paragraph,On the simple multimodal functions (F4–F10) it holds the bes,PASS,alnum-containment,,,c084eb91c972
DT-GSK.docx,paragraph,The composition functions (F21–F30) are the least favorable ,PASS,alnum-containment,,,bc55405d2e92
DT-GSK.docx,paragraph,Table 14 reports the Friedman mean ranks of the seven-algori,PASS,alnum-containment,,,b6e791932d8d
DT-GSK.docx,paragraph,The favorable ranks coexist with losing head-to-head records,PASS,alnum-containment,,,9ea4818c20f9
DT-GSK.docx,paragraph,"The “Overall” column (2.48 for DT-GSK, best of 7; eGSK secon",PASS,alnum-containment,,,f3d001341639
DT-GSK.docx,paragraph,Comparisons use the Wilcoxon signed-rank test [35] on paired,PASS,alnum-containment,,,765b92912062
DT-GSK.docx,paragraph,Table 15 reports the across-function Wilcoxon tests with Hol,PASS,alnum-containment,,,7940b4b01052
DT-GSK.docx,paragraph,Of the 24 Holm-corrected cells (six comparators × four dimen,PASS,alnum-containment,,,690a92e6dc79
DT-GSK.docx,paragraph,"As a sensitivity check, applying Holm once across all 24 hyp",PASS,alnum-containment,,,e851a9115685
DT-GSK.docx,paragraph,The unfavorable and borderline cells are stated plainly. Aga,PASS,alnum-containment,,,f3aae2ba264d
DT-GSK.docx,paragraph,"Against GSK, the D=100 cell is not significant after Holm co",PASS,alnum-containment,,,d7025490c45b
