citation_key,bib_title,bib_authors,bib_year,bib_venue,bib_doi,source_file,source_title,source_authors,source_year,source_venue,source_doi,format,page_count,source_checksum,identity_status,readability_status,admissible,notes
alfadli2025atmals,Auto-Tuning Memory-Based Adaptive Local Search Gaining-Sharing Knowledge-Based Algorithm for Solving Optimization Problems,"Alfadli, Nawaf Mijbel and Oun, Eman Mostafa and Mohamed, Ali Wagdy",2025,Algorithms,10.3390/a18070398,alfadli2025atmals.pdf,Auto-Tuning Memory-Based Adaptive Local Search Gaining-Sharing Knowledge-Based Algorithm for Solving Optimization Problems,"Alfadli, Nawaf Mijbel and Oun, Eman Mostafa and Mohamed, Ali Wagdy",2025,Algorithms,10.3390/a18070398,pdf,64,34a91a06c313c49489bf7dfc18ae9ff4479c12ac1e2a34a390ccb061dafb1d03,verified,readable,yes,
hpe_agsk2025,Adaptive Gaining-Sharing Knowledge-Based Variant Algorithm with Historical Probability Expansion and Its Application in Escape Maneuver Decision Making,"Xie, Lei and Wang, Yuan and Tang, Shangqin and Li, Yintong and Zhang, Zhuoran and Huang, Changqiang",2025,Artificial Intelligence Review,10.1007/s10462-024-11096-4,hpe_agsk2025.pdf,Adaptive Gaining-Sharing Knowledge-Based Variant Algorithm with Historical Probability Expansion and Its Application in Escape Maneuver Decision Making,"Xie, Lei and Wang, Yuan and Tang, Shangqin and Li, Yintong and Zhang, Zhuoran and Huang, Changqiang",2025,Artificial Intelligence Review,10.1007/s10462-024-11096-4,pdf,44,752b95d218ffd9ea9f881e75423cd157b57588e732c6157f6ba557f10c2fe36b,verified,readable,yes,
epd_gsk2024,Enhancing Population Diversity Based Gaining-Sharing Knowledge Based Algorithm for Global Optimization and Engineering Design Problems,"Liang, Ziyuan and Wang, Zhenlei",2024,Expert Systems with Applications,10.1016/j.eswa.2024.123958,epd_gsk2024.pdf,Enhancing Population Diversity Based Gaining-Sharing Knowledge Based Algorithm for Global Optimization and Engineering Design Problems,"Liang, Ziyuan and Wang, Zhenlei",2024,Expert Systems with Applications,10.1016/j.eswa.2024.123958,pdf,20,9856596fdb8ee311645730c57844610daf1d2090e7455fcb7d559c30373783c3,verified,readable,yes,
pogsk2023,A New Gaining-Sharing Knowledge Based Algorithm with Parallel Opposition-Based Learning for Internet of Vehicles,"Pan, Jeng-Shyang and Liu, Li-Fa and Chu, Shu-Chuan and Song, Pei-Cheng and Liu, Geng-Geng",2023,Mathematics,10.3390/math11132953,pogsk2023.pdf,A New Gaining-Sharing Knowledge Based Algorithm with Parallel Opposition-Based Learning for Internet of Vehicles,"Pan, Jeng-Shyang and Liu, Li-Fa and Chu, Shu-Chuan and Song, Pei-Cheng and Liu, Geng-Geng",2023,Mathematics,10.3390/math11132953,pdf,25,0020d3bfc7a41dee342a08b22e22d391f99242c7948ada128fab472f42db11b7,verified,readable,yes,
storn1997differential,Differential Evolution - A Simple and Efficient Heuristic for Global Optimization over Continuous Spaces,"Storn, Rainer and Price, Kenneth",1997,Journal of Global Optimization,10.1023/A:1008202821328,storn1997differential.pdf,Differential Evolution - A Simple and Efficient Heuristic for Global Optimization over Continuous Spaces,"Storn, Rainer and Price, Kenneth",1997,Journal of Global Optimization,10.1023/A:1008202821328,pdf,19,d8bd6c0f8030790d9d172076b57119bc94fd861bbca79c94ae6b680363239f12,verified,readable,yes,"Verified; header 'Journal of Global Optimization 11: 341-359, 1997' confirmed. Title match degraded only by ligature extraction artifacts ('Efficient')."
zhang2009jade,JADE: Adaptive Differential Evolution with Optional External Archive,"Zhang, Jingqiao and Sanderson, Arthur C.",2009,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2009.2014613,zhang2009jade.pdf,JADE: Adaptive Differential Evolution with Optional External Archive,"Zhang, Jingqiao and Sanderson, Arthur C.",2009,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2009.2014613,pdf,14,756c086248ecfca671b4545ea7dba5956974f0ce545c791f61bd04b7d20945c6,verified,readable,yes,
tanabe2013shade,Success-History Based Parameter Adaptation for Differential Evolution,"Tanabe, Ryoji and Fukunaga, Alex",2013,Proceedings of the 2013 IEEE Congress on Evolutionary Computation,10.1109/CEC.2013.6557555,tanabe2013shade.pdf,Success-History Based Parameter Adaptation for Differential Evolution,"Tanabe, Ryoji and Fukunaga, Alex",2013,Proceedings of the 2013 IEEE Congress on Evolutionary Computation,10.1109/CEC.2013.6557555,pdf,8,bd41e3b637ce83f08f26f741797f42869ee26d37f865defe7fb5c8a62b320af3,verified,readable,yes,
tanabe2014improving,Improving the Search Performance of SHADE Using Linear Population Size Reduction,"Tanabe, Ryoji and Fukunaga, Alex S.",2014,Proceedings of the 2014 IEEE Congress on Evolutionary Computation,10.1109/CEC.2014.6900380,tanabe2014improving.pdf,Improving the Search Performance of SHADE Using Linear Population Size Reduction,"Tanabe, Ryoji and Fukunaga, Alex S.",2014,Proceedings of the 2014 IEEE Congress on Evolutionary Computation,10.1109/CEC.2014.6900380,pdf,8,1c25d8c374300936947b05e27bd55444e1692b185d5f6ff141ad16eeab530e04,verified,readable,yes,
hansen2001cmaes,Completely Derandomized Self-Adaptation in Evolution Strategies,"Hansen, Nikolaus and Ostermeier, Andreas",2001,Evolutionary Computation,10.1162/106365601750190398,hansen2001cmaes.pdf,Completely Derandomized Self-Adaptation in Evolution Strategies,"Hansen, Nikolaus and Ostermeier, Andreas",2001,Evolutionary Computation,10.1162/106365601750190398,pdf,37,6c5b3c544c781c59cff9de300c9782c73afd42b4b521930327d37a84187dff5e,verified,readable,yes,
omidvar2014dg,Cooperative Co-Evolution With Differential Grouping for Large Scale Optimization,"Omidvar, Mohammad Nabi and Li, Xiaodong and Mei, Yi and Yao, Xin",2014,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2013.2281543,omidvar2014dg.pdf,Cooperative Co-Evolution With Differential Grouping for Large Scale Optimization,"Omidvar, Mohammad Nabi and Li, Xiaodong and Mei, Yi and Yao, Xin",2013 (accepted-manuscript header; bib cites final 2014 publication),IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2013.2281543,pdf,16,efb15b9bf91d257aa09e856946abc98c8a3a8eac89d87d9aa13756474e93686d,verified,readable,yes,"Local file is the author-accepted IEEE TEVC manuscript ('accepted for publication... not fully edited', (c) 2013 header, 'VOL. X, NO. X'). Title/authors/venue match; final 2014 pagination (378-393) not shown; locators must use the local manuscript pagination."
guo2015eig,Enhancing Differential Evolution Utilizing Eigenvector-Based Crossover Operator,"Guo, Shu-Mei and Yang, Chin-Chang",2015,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2013.2297160,guo2015eig.pdf,Enhancing Differential Evolution Utilizing Eigenvector-Based Crossover Operator,"Guo, Shu-Mei and Yang, Chin-Chang",2015,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2013.2297160,pdf,19,30a1d86f1b3fee3bdb95f9a6b7be412132ce13f44316a42dd4ca144eab541489,verified,readable,yes,
jalali2021opposition,An Oppositional-Cauchy Based GSK Evolutionary Algorithm with a Novel Deep Ensemble Reinforcement Learning Strategy for COVID-19 Diagnosis,"Jalali, Seyed Mohammad Jafar and Ahmadian, Maryam and Ahmadian, Saeed and Khosravi, Abbas and Alazab, Mamoun and Nahavandi, Saeid",2021,Applied Soft Computing,10.1016/j.asoc.2021.107675,jalali2021opposition.pdf,An Oppositional-Cauchy Based GSK Evolutionary Algorithm with a Novel Deep Ensemble Reinforcement Learning Strategy for COVID-19 Diagnosis,Seyed Mohammad Jafar Jalali and Milad Ahmadian and Sajad Ahmadian and Abbas Khosravi and Mamoun Alazab and Saeid Nahavandi,2021,Applied Soft Computing,10.1016/j.asoc.2021.107675,pdf,18,42f40a7a7de18715f7690b509ad288155c57c283ba3491823913856d86632116,minor_metadata_mismatch,readable,yes,"Identity certain (exact title, journal, year, DOI 10.1016/j.asoc.2021.107675). Bib given-name errors resolved from source: 2nd author is Milad Ahmadian (not 'Maryam'), 3rd author is Sajad Ahmadian (not 'Saeed'). Page 1 of the file is an Elsevier COVID-19 resource-centre cover; the article starts on page 2."
chalabi2023mogsk,A Multi-Objective Gaining-Sharing Knowledge-Based Optimization Algorithm for Solving Engineering Problems,"Chalabi, Nour Elhouda and Attia, Abdelouahab and Alnowibet, Khalid Abdulaziz and Zawbaa, Hossam M. and Masri, Hatem and Mohamed, Ali Wagdy",2023,Mathematics,10.3390/math11143092,chalabi2023mogsk.pdf,A Multi-Objective Gaining-Sharing Knowledge-Based Optimization Algorithm for Solving Engineering Problems,"Chalabi, Nour Elhouda and Attia, Abdelouahab and Alnowibet, Khalid Abdulaziz and Zawbaa, Hossam M. and Masri, Hatem and Mohamed, Ali Wagdy",2023,Mathematics,10.3390/math11143092,pdf,39,5dba359d2d6d421b82b48a1c2346ec9b49200893bdee602678b9ab8225a2c4f2,verified,readable,yes,
ma2023mgskdpmo,A Modified Gaining-Sharing Knowledge Algorithm Based on Dual-Population and Multi-Operators for Unconstrained Optimization,"Ma, Haoran and Zhang, Jiahao and Wei, Wenhong and Cheng, Wanyou and Liu, Qunfeng",2023,"Advances in Swarm Intelligence: Proceedings of the 14th International Conference, ICSI 2023",10.1007/978-3-031-36622-2_25,ma2023mgskdpmo.pdf,A Modified Gaining-Sharing Knowledge Algorithm Based on Dual-Population and Multi-Operators for Unconstrained Optimization,"Ma, Haoran and Zhang, Jiahao and Wei, Wenhong and Cheng, Wanyou and Liu, Qunfeng",2023,"Advances in Swarm Intelligence: Proceedings of the 14th International Conference, ICSI 2023",10.1007/978-3-031-36622-2_25,pdf,11,d12e57ab2b4e1c47928b698805c41a934f82ac477498cb96982edaa9ebaa43ba,verified,readable,yes,"Verified; chapter DOI 10.1007/978-3-031-36622-2_25 and 'ICSI 2023, LNCS 13968, pp. 309-319' confirmed on page."
apgsk_imode2024,Optimizing Switch Placement and Status for Sustainable Grid Operation and Effective Distributed Generation Integration using the APGSK-IMODE Algorithm,"Kamarposhti, Majid Akbari and Shokouhandeh, Hassan and Lee, Ilhami and Kang, Sankook and Colak, Iihan and Barhoumi, Ezzeddine Mohamed",2024,International Journal of Low-Carbon Technologies,10.1093/ijlct/ctae157,apgsk_imode2024.pdf,Optimizing Switch Placement and Status for Sustainable Grid Operation and Effective Distributed Generation Integration using the APGSK-IMODE Algorithm,Mehrdad Ahmadi Kamarposhti and Hassan Shokouhandeh and Yeonwoo Lee and Sun-Kyoung Kang and Ilhami Colak and El Manaa Barhoumi,2024,International Journal of Low-Carbon Technologies,10.1093/ijlct/ctae231,pdf,11,ed2874f93a6b4aa84bb1cb5c3cc74124a2dadb546c956a0a11f047525a21a604,minor_metadata_mismatch,readable,yes,"Identity certain (exact title; IJLCT 19 (2024) 2676-2686 header). Bib metadata errors resolved from source: DOI is 10.1093/ijlct/ctae231, not ctae157; author list heavily garbled in bib - source authors are Mehrdad Ahmadi Kamarposhti, Hassan Shokouhandeh, Yeonwoo Lee, Sun-Kyoung Kang, Ilhami Colak, El Manaa Barhoumi (bib: 'Majid Akbari Kamarposhti', 'Ilhami Lee', 'Sankook Kang', 'Iihan Colak', 'Ezzeddine Mohamed Barhoumi')."
nabahat2024hybrid,Hybrid Noise Reduction Filter Using the Gaining-Sharing Knowledge-Based Optimization and the Whale Optimization Algorithms,"Nabahat, Mahboobe and Khiyabani, Firoz M. and Navmipour, Nima Jafari",2024,SN Computer Science,10.1007/s42979-024-02705-8,nabahat2024hybrid.pdf,Hybrid Noise Reduction Filter Using the Gaining-Sharing Knowledge-Based Optimization and the Whale Optimization Algorithms,Mehrdad Nabahat and Farzin Modarres Khiyabani and Nima Jafari Navmipour,2024,SN Computer Science,10.1007/s42979-024-02674-y,pdf,42,887ecb4e5b59d1ee43e2f6c76610d53ecdbd3b4fd9f5f55942160f910fbdeb63,minor_metadata_mismatch,readable,yes,"Identity certain (exact title; SN Computer Science (2024) 5:417 header). Bib metadata errors resolved from source: DOI is 10.1007/s42979-024-02674-y, not -02705-8; given names wrong in bib - source authors are Mehrdad Nabahat and Farzin Modarres Khiyabani (bib: 'Mahboobe Nabahat', 'Firoz M. Khiyabani')."
nomer2021gskrl,GSK-RL: Adaptive Gaining-Sharing Knowledge Algorithm Using Reinforcement Learning,"Nomer, Hazem A. A. and Mohamed, Ali Wagdy and Yousef, Ahmed H.",2021,Proceedings of the 2021 Novel Intelligent and Leading Emerging Sciences Conference (NILES),10.1109/NILES53778.2021.9600551,nomer2021gskrl.pdf,GSK-RL: Adaptive Gaining-Sharing Knowledge Algorithm Using Reinforcement Learning,"Nomer, Hazem A. A. and Mohamed, Ali Wagdy and Yousef, Ahmed H.",(not stated in local file),(not stated in local file; bib cites NILES 2021 proceedings),(not printed in local file),pdf,6,485ddd6718420fa2712a48e8ad0cba58590824ff4d974bdc57b128c8e2b0312f,verified,readable,yes,"Exact title and all three authors confirmed. Local file is an author version without conference branding: the NILES 2021 venue, year, and DOI are not confirmable from the file itself; locators must use local pagination (6 pages)."
zhong2021gskhho,A Hybrid Differential Evolution Based on Gaining-Sharing Knowledge Algorithm and Harris Hawks Optimization,"Zhong, Xu and Duan, Meijun and Zhang, Xingxing and Cheng, Peng",2021,PLoS ONE,10.1371/journal.pone.0250951,zhong2021gskhho.pdf,A Hybrid Differential Evolution Based on Gaining-Sharing Knowledge Algorithm and Harris Hawks Optimization,Xuxu Zhong and Meijun Duan and Xiao Zhang and Peng Cheng,2021,PLoS ONE,10.1371/journal.pone.0250951,pdf,24,d27e91637f79a1cdcf574389aa22ee7e6f1776bce7171161d531b7b8c33db62f,minor_metadata_mismatch,readable,yes,"Identity certain (exact title; PLoS ONE; DOI 10.1371/journal.pone.0250951 on page). Bib given-name errors resolved from source: first author is Xuxu Zhong (not 'Xu'), third author is Xiao Zhang (not 'Xingxing'). Bib 'number' field carries the article number e0250951 (bib-style quirk)."
navaneetha2022gskde,Multi-Objective Task Scheduling in Fog Computing Using Improved Gaining Sharing Knowledge Based Algorithm,"Navaneetha Krishnan, Mukila and Thiyagarajan, Ravichandran",2022,Concurrency and Computation: Practice and Experience,10.1002/cpe.7227,navaneetha2022gskde.pdf,Multi-Objective Task Scheduling in Fog Computing Using Improved Gaining Sharing Knowledge Based Algorithm,Malathy Navaneetha Krishnan and Revathi Thiyagarajan,2022,Concurrency and Computation: Practice and Experience,10.1002/cpe.7227,pdf,22,7257c30a4687babd2909174d7cd7a6af22b5295f5e94ef875f297af323d92fd3,minor_metadata_mismatch,readable,yes,"Identity certain (title, journal, year, DOI 10.1002/cpe.7227 on page). Bib given-name errors resolved from source: authors are Malathy Navaneetha Krishnan and Revathi Thiyagarajan (bib: 'Mukila', 'Ravichandran')."
liang2024gskwoa,A Novel Improved Whale Optimization Algorithm for Global Optimization and Engineering Applications,"Liang, Ziting and Shu, Tao and Ding, Zijian",2024,Mathematics,10.3390/math12050636,liang2024gskwoa.pdf,A Novel Improved Whale Optimization Algorithm for Global Optimization and Engineering Applications,Ziying Liang and Ting Shu and Zuohua Ding,2024,Mathematics,10.3390/math12050636,pdf,43,fa0af91dfa0485420a0fab7560cec4ce086fb286ac2d0238c953349712af5dd0,minor_metadata_mismatch,readable,yes,"Identity certain (exact title; Mathematics 2024, 12, 636; DOI 10.3390/math12050636 on page). All three given names wrong in bib - source authors are Ziying Liang, Ting Shu, Zuohua Ding (bib: 'Ziting Liang', 'Tao Shu', 'Zijian Ding')."
zhou2021iade,IADE: An Improved Differential Evolution Algorithm to Preserve Sustainability in a 6G Network,"Zhou, Zeqiang and Shojafar, Mohammad and Abawajy, Jemal and Bashir, Ali Kashif",2021,IEEE Transactions on Green Communications and Networking,10.1109/TGCN.2021.3104883,zhou2021iade.pdf,IADE: An Improved Differential Evolution Algorithm to Preserve Sustainability in a 6G Network,Zhou Zhou and Mohammad Shojafar and Jemal Abawajy and Ali Kashif Bashir,(not stated in local file),(not stated in local file; bib cites IEEE TGCN),(not printed in local file),pdf,25,5b17be54c81bb7e347925341efaf191524a79826256c537abc6bb3abd4194789,minor_metadata_mismatch,readable,yes,"Exact title and author surnames confirmed. Bib first-author given name wrong: source shows Zhou Zhou (bib: 'Zeqiang Zhou'). Local file is an author preprint (IEEE template, 25 pp.); TGCN venue/DOI/pagination not confirmable locally - locators must use preprint pagination."
arini2022gjojos,Golden Jackal Optimization with Joint Opposite Selection: An Enhanced Nature-Inspired Optimization Algorithm for Solving Optimization Problems,"Arini, Fatma Y. and Sunat, Khamron and Soomlek, Chitsutha",2022,IEEE Access,10.1109/ACCESS.2022.3225010,arini2022gjojos.pdf,Golden Jackal Optimization with Joint Opposite Selection: An Enhanced Nature-Inspired Optimization Algorithm for Solving Optimization Problems,Florentina Yuni Arini and Khamron Sunat and Chitsutha Soomlek,2022,IEEE Access,10.1109/ACCESS.2022.3227510,pdf,24,2d133a8537c00f9608078c720da93cbefd25f4cb7c3e791d68bbbc081b4dc165,minor_metadata_mismatch,readable,yes,"Identity certain (exact title; IEEE Access vol. 10, 2022). Bib metadata errors resolved from source: DOI is 10.1109/ACCESS.2022.3227510, not 3225010; first author is Florentina Yuni Arini (bib: 'Fatma Y. Arini')."
hu2022qcsca,Horizontal and Vertical Crossover of Sine Cosine Algorithm with Quick Moves for Optimization and Feature Selection,"Hu, Hui and Shan, Weifeng and Tang, Yang and Heidari, Ali Asghar and Chen, Huiling and Liu, Huaguang and Wang, Miao and Escorcia-Gutierrez, Jose and Mansour, Romany F. and Chen, Jie",2022,Journal of Computational Design and Engineering,10.1093/jcde/qwac110,hu2022qcsca.pdf,Horizontal and Vertical Crossover of Sine Cosine Algorithm with Quick Moves for Optimization and Feature Selection,Hanyu Hu and Weifeng Shan and Yixiang Tang and Ali Asghar Heidari and Huiling Chen and Haijun Liu and Maofa Wang and Jose Escorcia-Gutierrez and Romany F. Mansour and Jun Chen,2022,Journal of Computational Design and Engineering,10.1093/jcde/qwac119,pdf,32,265ffef4acafe57aa3a7147be17c735d5e4d3637ea556ce3255cccf1d17e8005,minor_metadata_mismatch,readable,yes,"Identity certain (exact title; J. Comput. Des. Eng. 2022, 9, 2524-2555 header). Bib metadata errors resolved from source: DOI is 10.1093/jcde/qwac119, not qwac110; five given names wrong in bib - source authors include Hanyu Hu (not 'Hui'), Yixiang Tang (not 'Yang'), Haijun Liu (not 'Huaguang'), Maofa Wang (not 'Miao'), Jun Chen (not 'Jie')."
khalfi2023csm,A Single-Solution-Compact Hybrid Algorithm for Continuous Optimization,"Khalfi, Said and Iacca, Giovanni and Draa, Amer",2023,Memetic Computing,10.1007/s12293-023-00392-1,khalfi2023csm.pdf,A Single-Solution-Compact Hybrid Algorithm for Continuous Optimization,"Khalfi, Said and Iacca, Giovanni and Draa, Amer",2022 (manuscript date; bib cites final 2023 publication),Memetic Computing,10.1007/s12293-023-00392-1,pdf,36,b50b64cf31753b10c7f9fdb8244d2e8ed4bb1f3d347aa38609ccc3a92ca52cf8,verified,readable,yes,"Exact title and all authors confirmed; local file is the Springer author-manuscript version (Memetic Computing template, dated Oct 2022, 36 pp.); published pagination (155-204) not shown - locators must use manuscript pagination."
tang2024fowfo,Fractional-Order Water Flow Optimizer,"Tang, Zhentao and Wang, Kaiyu and Zang, Yan and Zhu, Qian and Todo, Yuki and Gao, Shangce",2024,International Journal of Computational Intelligence Systems,10.1007/s44196-024-00445-4,tang2024fowfo.pdf,Fractional-Order Water Flow Optimizer,"Tang, Zhentao and Wang, Kaiyu and Zang, Yan and Zhu, Qian and Todo, Yuki and Gao, Shangce",2024,International Journal of Computational Intelligence Systems,10.1007/s44196-024-00445-4,pdf,27,534e221a4b24fda5c96621489285b889a9f6c4360f1289e5c526e001f0069704,verified,readable,yes,
