line_no,classification,requirement_id,note
128,integrated,,part of R-115 list
130,integrated,R-130,
131,integrated,,continuation of R-130
132,integrated,,continuation of R-130
133,integrated,,continuation of R-130
134,integrated,,continuation of R-130
136,structural_heading,,
138,integrated,R-138,
139,integrated,R-139,
140,integrated,R-140,
141,integrated,R-141,
142,integrated,R-142,
143,integrated,,continuation of R-142
144,integrated,,continuation of R-142
145,integrated,,continuation of R-142
146,integrated,R-146,
147,integrated,,continuation of R-146
149,structural_heading,,
151,integrated,R-151,
152,integrated,,continuation of R-151
153,integrated,,continuation of R-151
154,integrated,,continuation of R-151
156,nonoperative,,section divider
158,structural_heading,,
160,structural_heading,,
162,integrated,R-162,
164,integrated,,part of R-162 list
165,integrated,,part of R-162 list
166,integrated,,part of R-162 list
167,integrated,,part of R-162 list
168,integrated,,part of R-162 list
169,integrated,,part of R-162 list
170,integrated,,part of R-162 list
171,integrated,,part of R-162 list
172,integrated,,part of R-162 list
173,integrated,,part of R-162 list
174,integrated,,part of R-162 list
175,integrated,,part of R-162 list
176,integrated,,part of R-162 list
177,integrated,,part of R-162 list
178,integrated,,part of R-162 list
179,integrated,,part of R-162 list
180,integrated,,part of R-162 list
181,integrated,,part of R-162 list
182,integrated,,part of R-162 list
183,integrated,,part of R-162 list
184,integrated,,part of R-162 list
185,integrated,,part of R-162 list
187,structural_heading,,
189,integrated,R-189,
190,integrated,,continuation of R-189
192,example_or_comment,,canonical layout spec of R-189
193,example_or_comment,,canonical layout spec of R-189
194,example_or_comment,,canonical layout spec of R-189
195,example_or_comment,,canonical layout spec of R-189
196,example_or_comment,,canonical layout spec of R-189
197,example_or_comment,,canonical layout spec of R-189
198,example_or_comment,,canonical layout spec of R-189
199,example_or_comment,,canonical layout spec of R-189
200,example_or_comment,,canonical layout spec of R-189
201,example_or_comment,,canonical layout spec of R-189
202,example_or_comment,,canonical layout spec of R-189
203,example_or_comment,,canonical layout spec of R-189
204,example_or_comment,,canonical layout spec of R-189
205,example_or_comment,,canonical layout spec of R-189
206,example_or_comment,,canonical layout spec of R-189
207,example_or_comment,,canonical layout spec of R-189
208,example_or_comment,,canonical layout spec of R-189
209,example_or_comment,,canonical layout spec of R-189
210,example_or_comment,,canonical layout spec of R-189
211,example_or_comment,,canonical layout spec of R-189
212,example_or_comment,,canonical layout spec of R-189
213,example_or_comment,,canonical layout spec of R-189
214,example_or_comment,,canonical layout spec of R-189
215,example_or_comment,,canonical layout spec of R-189
216,example_or_comment,,canonical layout spec of R-189
217,example_or_comment,,canonical layout spec of R-189
218,example_or_comment,,canonical layout spec of R-189
219,example_or_comment,,canonical layout spec of R-189
220,example_or_comment,,canonical layout spec of R-189
221,example_or_comment,,canonical layout spec of R-189
223,integrated,R-223,
224,integrated,R-224,
226,integrated,R-226,"CR-0003: derived-output equivalence; externally proposed paper_outputs/ tree satisfied by the frozen mapping, never created as a separate root (decision D-0006)"
227,integrated,R-226,continuation of R-226
228,integrated,R-226,continuation of R-226
229,integrated,R-226,continuation of R-226
230,integrated,R-226,continuation of R-226
231,integrated,R-226,continuation of R-226
232,integrated,R-226,continuation of R-226
233,integrated,R-226,continuation of R-226
234,integrated,R-226,continuation of R-226
235,integrated,R-226,continuation of R-226
236,integrated,R-226,continuation of R-226
238,structural_heading,,
240,integrated,R-228,
241,integrated,,continuation of R-228
243,integrated,,part of R-228 list
244,integrated,,part of R-228 list
245,integrated,,part of R-228 list
246,integrated,,part of R-228 list
247,integrated,,part of R-228 list
248,integrated,,part of R-228 list
250,integrated,R-238,
251,integrated,,continuation of R-238
252,integrated,,continuation of R-238
253,integrated,,continuation of R-238
254,integrated,,continuation of R-238
255,integrated,,continuation of R-238
257,structural_heading,,
259,nonoperative,,journal wiring context; rule starts at R-249
260,nonoperative,,journal wiring context; rule starts at R-249
261,integrated,R-249,
262,integrated,,continuation of R-249
264,integrated,R-252,
266,integrated,,part of R-252 list
267,integrated,,part of R-252 list
268,integrated,,part of R-252 list
269,integrated,,part of R-252 list
270,integrated,,part of R-252 list
271,integrated,,part of R-252 list
272,integrated,,part of R-252 list
273,integrated,,part of R-252 list
274,integrated,,part of R-252 list
276,integrated,R-264,
277,integrated,,continuation of R-264
279,structural_heading,,
281,integrated,R-269,
283,nonoperative,,table header/separator
284,nonoperative,,table header/separator
285,integrated,,provisional ceiling row of R-269
286,integrated,,provisional ceiling row of R-269
287,integrated,,provisional ceiling row of R-269
288,integrated,,provisional ceiling row of R-269
289,integrated,,provisional ceiling row of R-269
290,integrated,,provisional ceiling row of R-269
291,integrated,,provisional ceiling row of R-269
292,integrated,,provisional ceiling row of R-269
293,integrated,,provisional ceiling row of R-269
294,integrated,,provisional ceiling row of R-269
295,integrated,,provisional ceiling row of R-269
297,integrated,R-285,
298,integrated,,continuation of R-285
299,integrated,,continuation of R-285
300,integrated,R-288,
301,integrated,,continuation of R-288
302,integrated,,continuation of R-288
303,integrated,,continuation of R-288
304,integrated,R-292,
305,integrated,,continuation of R-292
306,integrated,,continuation of R-292
307,integrated,,continuation of R-292
308,integrated,R-296,
309,integrated,,continuation of R-296
310,integrated,,continuation of R-296
311,integrated,,continuation of R-296
313,nonoperative,,section divider
315,structural_heading,,
317,structural_heading,,
319,integrated,R-307,
320,integrated,,continuation of R-307
322,structural_heading,,
324,integrated,R-312,
325,integrated,,continuation of R-312
326,integrated,,continuation of R-312
327,integrated,,continuation of R-312
329,structural_heading,,
331,integrated,R-319,
332,integrated,,continuation of R-319
334,example_or_comment,,immutable evidence path of R-319
335,example_or_comment,,immutable evidence path of R-319
336,example_or_comment,,immutable evidence path of R-319
338,integrated,R-326,
339,integrated,,continuation of R-326
341,integrated,R-329,
342,integrated,,continuation of R-329
343,integrated,,continuation of R-329
344,integrated,,continuation of R-329
346,structural_heading,,
348,integrated,R-336,
349,integrated,,continuation of R-336
350,integrated,R-338,
351,integrated,,continuation of R-338
353,structural_heading,,
355,duplicate,,duplicate of R-264 journal guidance is administrative only
356,duplicate,,duplicate of R-264 journal guidance is administrative only
358,structural_heading,,
360,integrated,R-348,
361,integrated,,continuation of R-348
362,integrated,,continuation of R-348
364,structural_heading,,
366,integrated,R-354,
368,integrated,,part of R-354 list
369,integrated,,part of R-354 list
371,integrated,R-359,
372,integrated,R-360,
374,integrated,,part of R-360 list
375,integrated,,part of R-360 list
376,integrated,,part of R-360 list
377,integrated,,part of R-360 list
378,integrated,,part of R-360 list
379,integrated,,part of R-360 list
380,integrated,,part of R-360 list
382,integrated,R-370,
384,structural_heading,,
386,integrated,R-374,
388,example_or_comment,,code fence delimiter
389,integrated,,enforced guard condition of R-374
390,integrated,,enforced guard condition of R-374
391,integrated,,enforced guard condition of R-374
392,integrated,,enforced guard condition of R-374
393,integrated,,enforced guard condition of R-374
394,example_or_comment,,code fence delimiter
396,integrated,R-384,
397,integrated,,continuation of R-384
398,integrated,,continuation of R-384
400,integrated,R-388,
401,integrated,,continuation of R-388
402,integrated,,continuation of R-388
404,integrated,R-404,CR-0003: explicit immutability prohibitions for the selected release and cec_reference_results/ generally
405,integrated,R-404,continuation of R-404
406,integrated,R-404,continuation of R-404
408,integrated,R-404,prohibited action of R-404
409,integrated,R-404,prohibited action of R-404
410,integrated,R-404,prohibited action of R-404
411,integrated,R-404,prohibited action of R-404
412,integrated,R-404,prohibited action of R-404
413,integrated,R-404,prohibited action of R-404
414,integrated,R-404,prohibited action of R-404
415,integrated,R-404,prohibited action of R-404
417,integrated,R-404,continuation of R-404 (read-only inputs; outputs outside the reference tree; Section 6.7 log floors disclosed)
418,integrated,R-404,continuation of R-404 (read-only inputs; outputs outside the reference tree; Section 6.7 log floors disclosed)
419,integrated,R-404,continuation of R-404 (read-only inputs; outputs outside the reference tree; Section 6.7 log floors disclosed)
421,structural_heading,,
423,integrated,R-394,
424,integrated,,continuation of R-394
426,integrated,,promotion step of R-394
427,integrated,,promotion step of R-394
428,integrated,,promotion step of R-394
429,integrated,,promotion step of R-394
430,integrated,,promotion step of R-394
431,integrated,,promotion step of R-394
432,integrated,,promotion step of R-394
433,integrated,,promotion step of R-394
434,integrated,,promotion step of R-394
435,integrated,,promotion step of R-394
436,integrated,,promotion step of R-394
437,integrated,,promotion step of R-394
438,integrated,,promotion step of R-394
440,integrated,R-411,
441,integrated,,continuation of R-411
443,structural_heading,,
445,integrated,R-416,
447,integrated,,precedence level of R-416
448,integrated,,precedence level of R-416
449,integrated,,precedence level of R-416
450,integrated,,precedence level of R-416
451,integrated,,precedence level of R-416
452,integrated,,precedence level of R-416
453,integrated,,precedence level of R-416
455,integrated,R-426,
456,integrated,,continuation of R-426
458,structural_heading,,
460,integrated,R-431,
461,integrated,,continuation of R-431
462,integrated,,continuation of R-431
464,example_or_comment,,claims-matrix schema of R-431
465,example_or_comment,,claims-matrix schema of R-431
466,example_or_comment,,claims-matrix schema of R-431
467,example_or_comment,,claims-matrix schema of R-431
468,example_or_comment,,claims-matrix schema of R-431
469,example_or_comment,,claims-matrix schema of R-431
470,example_or_comment,,claims-matrix schema of R-431
472,integrated,R-443,
474,example_or_comment,,claim-type vocabulary of R-443
475,example_or_comment,,claim-type vocabulary of R-443
476,example_or_comment,,claim-type vocabulary of R-443
477,example_or_comment,,claim-type vocabulary of R-443
478,example_or_comment,,claim-type vocabulary of R-443
479,example_or_comment,,claim-type vocabulary of R-443
481,integrated,R-452,
482,integrated,,continuation of R-452
484,structural_heading,,
486,integrated,R-457,
488,integrated,R-459,
489,integrated,,continuation of R-459
490,integrated,R-461,
491,integrated,,continuation of R-461
492,integrated,,continuation of R-461
493,integrated,,continuation of R-461
494,integrated,R-465,
495,integrated,,continuation of R-465
496,integrated,,continuation of R-465
497,integrated,R-468,
498,integrated,,continuation of R-468
499,integrated,R-470,
500,integrated,,continuation of R-470
502,integrated,R-473,
503,integrated,,continuation of R-473
504,integrated,,continuation of R-473
505,integrated,,continuation of R-473
506,integrated,,continuation of R-473
507,integrated,,continuation of R-473
509,integrated,R-480,
510,integrated,,continuation of R-480
512,structural_heading,,
514,integrated,R-485,
515,integrated,,continuation of R-485
517,integrated,,part of R-485 list
518,integrated,,part of R-485 list
519,integrated,,part of R-485 list
520,integrated,,part of R-485 list
521,integrated,,part of R-485 list
522,integrated,,part of R-485 list
523,integrated,,part of R-485 list
525,integrated,R-496,
526,integrated,R-497,
527,integrated,,continuation of R-497
529,structural_heading,,
531,integrated,R-502,
532,integrated,,continuation of R-502
533,integrated,,continuation of R-502
535,integrated,R-506,
537,integrated,,prohibited practice of R-506
538,integrated,,prohibited practice of R-506
539,integrated,,prohibited practice of R-506
540,integrated,,prohibited practice of R-506
541,integrated,,prohibited practice of R-506
542,integrated,,prohibited practice of R-506
543,integrated,,prohibited practice of R-506
544,integrated,,prohibited practice of R-506
545,integrated,,prohibited practice of R-506
546,integrated,,prohibited practice of R-506
547,integrated,,prohibited practice of R-506
548,integrated,,prohibited practice of R-506
550,structural_heading,,
552,integrated,R-523,
553,integrated,R-524,
554,integrated,R-525,
555,integrated,R-526,
556,integrated,R-527,
557,integrated,R-528,
558,integrated,R-529,
559,integrated,R-530,
560,integrated,,continuation of R-530
561,integrated,R-532,
562,integrated,,continuation of R-532
563,integrated,R-534,
564,integrated,,continuation of R-534
565,integrated,,continuation of R-534
567,structural_heading,,
569,integrated,R-540,
570,integrated,R-541,
571,integrated,,continuation of R-541
572,integrated,,continuation of R-541
573,integrated,R-544,
574,integrated,,continuation of R-544
575,integrated,R-546,
576,integrated,R-547,
577,integrated,R-548,
578,integrated,R-549,
579,integrated,R-550,
580,integrated,,continuation of R-550
581,integrated,R-552,
582,integrated,,continuation of R-552
584,structural_heading,,
586,integrated,R-557,
588,integrated,,preserved provenance item of R-557
589,integrated,,preserved provenance item of R-557
590,integrated,,preserved provenance item of R-557
591,integrated,,preserved provenance item of R-557
592,integrated,,preserved provenance item of R-557
593,integrated,,preserved provenance item of R-557
594,integrated,,preserved provenance item of R-557
595,integrated,,preserved provenance item of R-557
596,integrated,,preserved provenance item of R-557
597,integrated,,preserved provenance item of R-557
598,integrated,,preserved provenance item of R-557
600,integrated,R-571,
601,integrated,,continuation of R-571
602,integrated,,continuation of R-571
604,nonoperative,,section divider
606,structural_heading,,
608,integrated,R-579,
609,integrated,,continuation of R-579
610,integrated,R-581,
611,integrated,,continuation of R-581
612,integrated,,continuation of R-581
613,integrated,,continuation of R-581
614,integrated,R-585,
615,integrated,R-586,
616,integrated,,continuation of R-586
618,integrated,R-589,
619,integrated,,continuation of R-589
620,integrated,,continuation of R-589
621,integrated,,continuation of R-589
622,integrated,,continuation of R-589
623,integrated,R-594,
624,integrated,,continuation of R-594
625,integrated,R-596,
626,integrated,,continuation of R-596
628,structural_heading,,
630,nonoperative,,table header/separator
631,nonoperative,,table header/separator
632,integrated,R-603,
633,integrated,R-604,
634,integrated,R-605,
635,integrated,R-606,
636,integrated,R-607,
637,integrated,R-608,
638,integrated,R-609,
639,integrated,R-610,
640,integrated,R-611,
641,integrated,R-612,
642,integrated,R-613,
643,integrated,R-614,
644,integrated,R-615,
645,integrated,R-616,
646,integrated,R-617,
647,integrated,R-618,
648,integrated,R-619,
649,integrated,R-620,
650,integrated,R-621,
651,integrated,R-622,
652,integrated,R-623,
653,integrated,R-624,
654,integrated,R-625,
655,integrated,R-626,
656,integrated,R-627,
657,integrated,R-628,
658,integrated,R-629,
659,integrated,R-630,
660,integrated,R-631,
661,integrated,R-632,
663,structural_heading,,
665,integrated,R-636,
666,integrated,,continuation of R-636
667,integrated,,continuation of R-636
668,integrated,,continuation of R-636
669,integrated,,continuation of R-636
671,integrated,R-642,
673,example_or_comment,,RTM schema of R-642
674,example_or_comment,,RTM schema of R-642
675,example_or_comment,,RTM schema of R-642
676,example_or_comment,,RTM schema of R-642
677,example_or_comment,,RTM schema of R-642
679,integrated,R-650,
681,example_or_comment,,SLT schema of R-650
682,example_or_comment,,SLT schema of R-650
683,example_or_comment,,SLT schema of R-650
684,example_or_comment,,SLT schema of R-650
686,integrated,R-657,
687,integrated,,continuation of R-657
688,integrated,R-659,
689,integrated,,continuation of R-659
690,integrated,R-661,
691,integrated,R-662,
692,integrated,,continuation of R-662
694,structural_heading,,
696,integrated,R-667,
698,example_or_comment,,reference_inventory schema of R-667
699,example_or_comment,,reference_inventory schema of R-667
700,example_or_comment,,reference_inventory schema of R-667
701,example_or_comment,,reference_inventory schema of R-667
702,example_or_comment,,reference_inventory schema of R-667
703,example_or_comment,,reference_inventory schema of R-667
705,integrated,R-676,
706,integrated,,continuation of R-676
707,integrated,R-678,
708,integrated,,continuation of R-678
709,integrated,,continuation of R-678
711,structural_heading,,
713,integrated,R-684,
715,integrated,,part of R-684 list
716,integrated,,part of R-684 list
717,integrated,,part of R-684 list
718,integrated,,part of R-684 list
719,integrated,,part of R-684 list
720,integrated,,part of R-684 list
721,integrated,,part of R-684 list
722,integrated,,part of R-684 list
723,integrated,,part of R-684 list
725,integrated,R-696,
727,structural_heading,,
729,integrated,R-700,
730,integrated,,continuation of R-700
731,integrated,,continuation of R-700
732,integrated,,continuation of R-700
734,structural_heading,,
736,integrated,R-707,
738,integrated,,part of R-707 list
739,integrated,,part of R-707 list
740,integrated,,part of R-707 list
741,integrated,,part of R-707 list
742,integrated,,part of R-707 list
743,integrated,,part of R-707 list
744,integrated,,part of R-707 list
745,integrated,,part of R-707 list
746,integrated,,part of R-707 list
748,integrated,R-719,
749,integrated,,continuation of R-719
751,structural_heading,,
753,integrated,R-724,
755,example_or_comment,,citation_usage_map schema of R-724
756,example_or_comment,,citation_usage_map schema of R-724
757,example_or_comment,,citation_usage_map schema of R-724
758,example_or_comment,,citation_usage_map schema of R-724
760,structural_heading,,
762,structural_heading,,
764,example_or_comment,,
765,integrated,R-736,
766,integrated,,continuation of R-736
767,integrated,,continuation of R-736
768,integrated,,continuation of R-736
769,integrated,,continuation of R-736
770,example_or_comment,,
772,structural_heading,,
774,example_or_comment,,
775,integrated,R-746,
776,integrated,,continuation of R-746
777,integrated,,continuation of R-746
778,example_or_comment,,
780,structural_heading,,
782,example_or_comment,,
783,integrated,R-754,
784,integrated,,continuation of R-754
785,integrated,,continuation of R-754
786,integrated,,continuation of R-754
787,example_or_comment,,
789,structural_heading,,
791,example_or_comment,,
792,integrated,R-763,
793,integrated,,continuation of R-763
794,example_or_comment,,
796,structural_heading,,
798,example_or_comment,,
799,integrated,R-770,
800,integrated,,continuation of R-770
801,integrated,,continuation of R-770
802,example_or_comment,,
804,structural_heading,,
806,example_or_comment,,
807,integrated,R-778,
808,integrated,,continuation of R-778
809,integrated,,continuation of R-778
810,example_or_comment,,
812,structural_heading,,
814,example_or_comment,,
815,integrated,R-786,
816,integrated,,continuation of R-786
817,example_or_comment,,
819,structural_heading,,
821,example_or_comment,,
822,integrated,R-793,
823,integrated,,continuation of R-793
824,example_or_comment,,
826,integrated,R-797,
828,structural_heading,,
830,example_or_comment,,
831,integrated,R-802,
832,integrated,,continuation of R-802
833,example_or_comment,,
835,structural_heading,,
837,integrated,R-808,
839,integrated,,part of R-808 list
840,integrated,,part of R-808 list
841,integrated,,part of R-808 list
842,integrated,,part of R-808 list
843,integrated,,part of R-808 list
844,integrated,,part of R-808 list
845,example_or_comment,,parenthetical initialization note
846,example_or_comment,,parenthetical initialization note
848,integrated,R-819,
850,nonoperative,,section divider
852,structural_heading,,
854,integrated,R-825,
855,integrated,,continuation of R-825
856,integrated,,continuation of R-825
858,structural_heading,,
860,integrated,R-831,
862,integrated,,expected papers/ asset of R-831
863,integrated,,expected papers/ asset of R-831
864,integrated,,expected papers/ asset of R-831
865,integrated,,expected papers/ asset of R-831
866,integrated,,expected papers/ asset of R-831
867,integrated,,expected papers/ asset of R-831
868,integrated,,expected papers/ asset of R-831
869,integrated,,expected papers/ asset of R-831
870,integrated,,expected papers/ asset of R-831
871,integrated,,expected papers/ asset of R-831
872,integrated,R-843,
873,integrated,,continuation of R-843
874,integrated,,continuation of R-843
875,integrated,,expected papers/ asset of R-831
876,integrated,,expected papers/ asset of R-831
877,integrated,,expected papers/ asset of R-831
878,integrated,,expected papers/ asset of R-831
879,integrated,,expected papers/ asset of R-831
880,integrated,,expected papers/ asset of R-831
881,integrated,,expected papers/ asset of R-831
883,integrated,R-854,
885,example_or_comment,,expected generator script list of R-854
886,example_or_comment,,expected generator script list of R-854
887,example_or_comment,,expected generator script list of R-854
888,example_or_comment,,expected generator script list of R-854
889,example_or_comment,,expected generator script list of R-854
890,example_or_comment,,expected generator script list of R-854
891,example_or_comment,,expected generator script list of R-854
892,example_or_comment,,expected generator script list of R-854
893,example_or_comment,,expected generator script list of R-854
894,example_or_comment,,expected generator script list of R-854
895,example_or_comment,,expected generator script list of R-854
896,example_or_comment,,expected generator script list of R-854
897,example_or_comment,,expected generator script list of R-854
898,example_or_comment,,expected generator script list of R-854
899,example_or_comment,,expected generator script list of R-854
900,example_or_comment,,expected generator script list of R-854
901,example_or_comment,,expected generator script list of R-854
902,example_or_comment,,expected generator script list of R-854
903,example_or_comment,,expected generator script list of R-854
904,example_or_comment,,expected generator script list of R-854
906,integrated,R-877,
907,integrated,R-878,
908,integrated,,continuation of R-878
909,integrated,,continuation of R-878
910,integrated,,continuation of R-878
912,structural_heading,,
914,integrated,R-885,
916,example_or_comment,,expected evaluator roots of R-885
917,example_or_comment,,expected evaluator roots of R-885
918,example_or_comment,,expected evaluator roots of R-885
919,example_or_comment,,expected evaluator roots of R-885
920,example_or_comment,,expected evaluator roots of R-885
921,example_or_comment,,expected evaluator roots of R-885
922,example_or_comment,,expected evaluator roots of R-885
924,integrated,R-895,
925,integrated,,continuation of R-895
927,structural_heading,,
929,integrated,R-900,
931,example_or_comment,,expected immutable layout of R-900
932,example_or_comment,,expected immutable layout of R-900
933,example_or_comment,,expected immutable layout of R-900
934,example_or_comment,,expected immutable layout of R-900
935,example_or_comment,,expected immutable layout of R-900
936,example_or_comment,,expected immutable layout of R-900
937,example_or_comment,,expected immutable layout of R-900
938,example_or_comment,,expected immutable layout of R-900
939,example_or_comment,,expected immutable layout of R-900
940,example_or_comment,,expected immutable layout of R-900
941,example_or_comment,,expected immutable layout of R-900
942,example_or_comment,,expected immutable layout of R-900
943,example_or_comment,,expected immutable layout of R-900
944,example_or_comment,,expected immutable layout of R-900
945,example_or_comment,,expected immutable layout of R-900
946,example_or_comment,,expected immutable layout of R-900
948,integrated,R-919,
950,example_or_comment,,expected panel list of R-919
951,example_or_comment,,expected panel list of R-919
952,example_or_comment,,expected panel list of R-919
954,integrated,R-925,
956,nonoperative,,table header/separator
957,nonoperative,,table header/separator
958,integrated,,expected coverage row of R-925
959,integrated,,expected coverage row of R-925
960,integrated,,expected coverage row of R-925
961,integrated,,expected coverage row of R-925
962,integrated,,expected coverage row of R-925
964,integrated,R-935,
965,integrated,R-936,
966,integrated,,continuation of R-936
968,integrated,R-939,
970,example_or_comment,,nested-path anti-pattern of R-939
971,example_or_comment,,nested-path anti-pattern of R-939
972,example_or_comment,,nested-path anti-pattern of R-939
974,structural_heading,,
976,integrated,R-947,
978,example_or_comment,,staging path list of R-947
979,example_or_comment,,staging path list of R-947
980,example_or_comment,,staging path list of R-947
981,example_or_comment,,staging path list of R-947
982,example_or_comment,,staging path list of R-947
983,example_or_comment,,staging path list of R-947
984,example_or_comment,,staging path list of R-947
985,example_or_comment,,staging path list of R-947
986,example_or_comment,,staging path list of R-947
988,integrated,R-959,
989,integrated,,continuation of R-959
990,integrated,,continuation of R-959
992,integrated,R-963,
993,integrated,,continuation of R-963
994,integrated,R-965,
995,integrated,,continuation of R-965
996,integrated,,continuation of R-965
997,integrated,R-968,
998,integrated,,continuation of R-968
999,integrated,R-970,
1000,integrated,,continuation of R-970
1002,integrated,R-973,
1003,integrated,,continuation of R-973
1004,integrated,R-975,
1005,integrated,,continuation of R-975
1006,integrated,,continuation of R-975
1007,integrated,,continuation of R-975
1008,integrated,,continuation of R-975
1009,integrated,R-980,
1010,integrated,,continuation of R-980
1011,integrated,,continuation of R-980
1012,integrated,,continuation of R-980
1013,integrated,R-984,
1014,integrated,,continuation of R-984
1015,integrated,,continuation of R-984
1017,structural_heading,,
1019,integrated,R-990,
1021,integrated,,protocol anchor of R-990
1022,integrated,,protocol anchor of R-990
1023,integrated,,protocol anchor of R-990
1024,integrated,,protocol anchor of R-990
1025,integrated,,protocol anchor of R-990
1026,integrated,,protocol anchor of R-990
1027,integrated,,protocol anchor of R-990
1028,integrated,,protocol anchor of R-990
1029,integrated,,protocol anchor of R-990
1030,integrated,,protocol anchor of R-990
1031,integrated,,protocol anchor of R-990
1032,integrated,,protocol anchor of R-990
1033,integrated,,protocol anchor of R-990
1035,structural_heading,,
1037,integrated,R-1008,
1039,example_or_comment,,expected command forms of R-1008
1040,example_or_comment,,expected command forms of R-1008
1041,example_or_comment,,expected command forms of R-1008
1042,example_or_comment,,expected command forms of R-1008
1043,example_or_comment,,expected command forms of R-1008
1044,example_or_comment,,expected command forms of R-1008
1045,example_or_comment,,expected command forms of R-1008
1046,example_or_comment,,expected command forms of R-1008
1047,example_or_comment,,expected command forms of R-1008
1048,example_or_comment,,expected command forms of R-1008
1049,example_or_comment,,expected command forms of R-1008
1051,integrated,R-1022,
1052,integrated,,continuation of R-1022
1053,integrated,R-1024,
1055,structural_heading,,
1057,integrated,R-1028,
1058,integrated,,continuation of R-1028
1059,integrated,,continuation of R-1028
1061,example_or_comment,,reproduction command forms of R-1028
1062,example_or_comment,,reproduction command forms of R-1028
1063,example_or_comment,,reproduction command forms of R-1028
1064,example_or_comment,,reproduction command forms of R-1028
1065,example_or_comment,,reproduction command forms of R-1028
1067,integrated,R-1038,
1068,integrated,,continuation of R-1038
1069,integrated,,continuation of R-1038
1071,integrated,R-1042,
1073,example_or_comment,,comparison command form of R-1042
1074,example_or_comment,,comparison command form of R-1042
1075,example_or_comment,,comparison command form of R-1042
1077,integrated,R-1048,
1078,integrated,,continuation of R-1048
1080,structural_heading,,
1082,integrated,R-1053,
1083,integrated,,continuation of R-1053
1084,integrated,R-1055,
1085,integrated,,continuation of R-1055
1087,nonoperative,,section divider
1089,structural_heading,,
1091,structural_heading,,
1093,integrated,R-1064,
1095,integrated,,expected component of R-1064
1096,integrated,,expected component of R-1064
1097,integrated,,expected component of R-1064
1098,integrated,,expected component of R-1064
1099,integrated,,expected component of R-1064
1100,integrated,,expected component of R-1064
1101,integrated,,expected component of R-1064
1102,integrated,,expected component of R-1064
1103,integrated,,expected component of R-1064
1104,integrated,,expected component of R-1064
1106,integrated,R-1077,
1108,integrated,,per-component determination of R-1077
1109,integrated,,per-component determination of R-1077
1110,integrated,,per-component determination of R-1077
